"fecha","delito","x","y","colonia","municipio","clave_mun","hora","bien_afectado","zona_geografica"
"2017-05-30","robo a vehiculos particulares","na","na","no disponible","encarnacion de diaz","35","5:30","el patrimonio","interior"
"2017-08-09","robo a casa habitacion","na","na","no disponible","lagos de moreno","53","17:45","el patrimonio","interior"
"2017-01-09","lesiones dolosas","na","na","no disponible","ojuelos de jalisco","64","5:30","la vida y la integridad corporal","interior"
"2017-01-27","robo a negocio","na","na","no disponible","san juan de los lagos","73","17:45","el patrimonio","interior"
"2017-01-27","robo a vehiculos particulares","na","na","no disponible","lagos de moreno","53","17:45","el patrimonio","interior"
"2017-01-13","lesiones dolosas","na","na","no disponible","teocaltiche","91","17:45","la vida y la integridad corporal","interior"
"2017-01-23","robo a persona","na","na","no disponible","lagos de moreno","53","5:30","el patrimonio","interior"
"2017-01-20","robo de motocicleta","na","na","no disponible","san juan de los lagos","73","5:30","el patrimonio","interior"
"2017-01-27","robo de motocicleta","na","na","no disponible","lagos de moreno","53","17:45","el patrimonio","interior"
"2017-01-23","robo de motocicleta","na","na","no disponible","lagos de moreno","53","17:45","el patrimonio","interior"
"2017-01-22","lesiones dolosas","na","na","no disponible","san juan de los lagos","73","5:30","la vida y la integridad corporal","interior"
"2017-01-10","robo de motocicleta","na","na","no disponible","lagos de moreno","53","17:45","el patrimonio","interior"
"2017-01-30","robo a vehiculos particulares","na","na","no disponible","lagos de moreno","53","17:45","el patrimonio","interior"
"2017-01-25","robo de autopartes","na","na","no disponible","san juan de los lagos","73","5:30","el patrimonio","interior"
"2017-01-18","abuso sexual infantil","na","na","no disponible","encarnacion de diaz","35","5:30","la libertad y la seguridad sexual","interior"
"2017-01-27","lesiones dolosas","na","na","no disponible","ojuelos de jalisco","64","17:45","la vida y la integridad corporal","interior"
"2017-01-23","robo de motocicleta","na","na","no disponible","lagos de moreno","53","17:45","el patrimonio","interior"
"2017-01-16","robo a vehiculos particulares","na","na","no disponible","lagos de moreno","53","17:45","el patrimonio","interior"
"2017-01-20","robo de motocicleta","na","na","no disponible","lagos de moreno","53","17:45","el patrimonio","interior"
"2017-01-05","robo a carga pesada","na","na","no disponible","lagos de moreno","53","5:30","el patrimonio","interior"
