"fecha","delito","x","y","colonia","municipio","clave_mun","hora","bien_afectado","zona_geografica"
"2017-01-06","robo a vehiculos particulares","na","na","no disponible","arandas","8","5:30","el patrimonio","interior"
"2017-01-31","robo a int de vehiculos","na","na","no disponible","tepatitlan de morelos","93","17:45","el patrimonio","interior"
"2017-01-18","robo a casa habitacion","na","na","no disponible","jesus maria","48","5:30","el patrimonio","interior"
"2017-01-02","robo a int de vehiculos","na","na","no disponible","tepatitlan de morelos","93","17:45","el patrimonio","interior"
"2017-01-27","robo a vehiculos particulares","na","na","no disponible","tepatitlan de morelos","93","17:45","el patrimonio","interior"
"2017-01-17","robo a vehiculos particulares","na","na","no disponible","valle de guadalupe","111","5:30","el patrimonio","interior"
"2017-01-25","robo a casa habitacion","na","na","no disponible","tepatitlan de morelos","93","5:30","el patrimonio","interior"
"2017-01-25","robo a negocio","na","na","no disponible","san miguel el alto","78","17:45","el patrimonio","interior"
"2017-01-25","violencia familiar","na","na","no disponible","tepatitlan de morelos","93","5:30","la familia","interior"
"2017-01-10","robo a vehiculos particulares","na","na","no disponible","yahualica de gonzalez gallo","118","5:30","el patrimonio","interior"
"2017-01-30","robo a casa habitacion","na","na","no disponible","tepatitlan de morelos","93","17:45","el patrimonio","interior"
"2017-01-04","robo a vehiculos particulares","na","na","no disponible","valle de guadalupe","111","5:30","el patrimonio","interior"
"2017-01-25","robo de motocicleta","na","na","no disponible","jesus maria","48","17:45","el patrimonio","interior"
"2017-01-17","lesiones dolosas","na","na","no disponible","yahualica de gonzalez gallo","118","17:45","la vida y la integridad corporal","interior"
"2017-01-19","robo de motocicleta","na","na","no disponible","tepatitlan de morelos","93","17:45","el patrimonio","interior"
"2017-01-14","lesiones dolosas","na","na","no disponible","tepatitlan de morelos","93","5:30","la vida y la integridad corporal","interior"
"2017-01-27","violencia familiar","na","na","no disponible","tepatitlan de morelos","93","17:45","la familia","interior"
"2017-01-31","robo a vehiculos particulares","na","na","no disponible","tepatitlan de morelos","93","17:45","el patrimonio","interior"
"2017-01-08","abuso sexual infantil","na","na","no disponible","tepatitlan de morelos","93","5:30","la libertad y la seguridad sexual","interior"
"2017-01-18","lesiones dolosas","na","na","no disponible","arandas","8","5:30","la vida y la integridad corporal","interior"
"2017-01-09","robo a vehiculos particulares","na","na","no disponible","tepatitlan de morelos","93","17:45","el patrimonio","interior"
"2017-01-07","robo a int de vehiculos","na","na","no disponible","tepatitlan de morelos","93","17:45","el patrimonio","interior"
"2017-01-23","robo de motocicleta","na","na","no disponible","jalostotitlan","46","17:45","el patrimonio","interior"
"2017-01-10","robo a cuentahabientes","na","na","no disponible","arandas","8","5:30","el patrimonio","interior"
"2017-02-27","lesiones dolosas","na","na","no disponible","tepatitlan de morelos","93","5:30","la vida y la integridad corporal","interior"
"2017-02-01","violencia familiar","na","na","no disponible","tepatitlan de morelos","93","17:45","la familia","interior"
"2017-02-27","violencia familiar","na","na","no disponible","tepatitlan de morelos","93","17:45","la familia","interior"
"2017-02-21","robo a vehiculos particulares","na","na","no disponible","tepatitlan de morelos","93","5:30","el patrimonio","interior"
"2017-02-13","lesiones dolosas","na","na","no disponible","arandas","8","17:45","la vida y la integridad corporal","interior"
"2017-02-22","robo a vehiculos particulares","na","na","no disponible","tepatitlan de morelos","93","17:45","el patrimonio","interior"
"2017-02-17","lesiones dolosas","na","na","no disponible","tepatitlan de morelos","93","17:45","la vida y la integridad corporal","interior"
"2017-02-02","robo a casa habitacion","na","na","no disponible","san ignacio cerro gordo","125","5:30","el patrimonio","interior"
"2017-02-13","robo a negocio","na","na","no disponible","tepatitlan de morelos","93","5:30","el patrimonio","interior"
"2017-02-24","robo a vehiculos particulares","na","na","no disponible","valle de guadalupe","111","17:45","el patrimonio","interior"
"2017-02-18","robo a negocio","na","na","no disponible","tepatitlan de morelos","93","17:45","el patrimonio","interior"
"2017-02-22","robo a int de vehiculos","na","na","no disponible","jesus maria","48","17:45","el patrimonio","interior"
"2017-02-21","robo a negocio","na","na","no disponible","acatic","1","17:45","el patrimonio","interior"
"2017-02-28","violencia familiar","na","na","no disponible","tepatitlan de morelos","93","17:45","la familia","interior"
"2017-02-14","robo a vehiculos particulares","na","na","no disponible","jalostotitlan","46","5:30","el patrimonio","interior"
"2017-02-03","robo a negocio","na","na","no disponible","arandas","8","5:30","el patrimonio","interior"
"2017-02-09","robo a negocio","na","na","no disponible","jalostotitlan","46","5:30","el patrimonio","interior"
"2017-02-21","violencia familiar","na","na","no disponible","tepatitlan de morelos","93","5:30","la familia","interior"
"2017-02-21","robo a casa habitacion","na","na","no disponible","tepatitlan de morelos","93","17:45","el patrimonio","interior"
"2017-02-27","robo a vehiculos particulares","na","na","no disponible","tepatitlan de morelos","93","5:30","el patrimonio","interior"
"2017-02-21","violencia familiar","na","na","no disponible","tepatitlan de morelos","93","5:30","la familia","interior"
"2017-03-02","robo a vehiculos particulares","na","na","no disponible","yahualica de gonzalez gallo","118","17:45","el patrimonio","interior"
"2017-03-24","robo de motocicleta","na","na","no disponible","jalostotitlan","46","17:45","el patrimonio","interior"
"2017-03-02","robo a persona","na","na","no disponible","arandas","8","5:30","el patrimonio","interior"
"2017-03-19","robo a casa habitacion","na","na","no disponible","arandas","8","17:45","el patrimonio","interior"
"2017-03-13","robo a vehiculos particulares","na","na","no disponible","tepatitlan de morelos","93","5:30","el patrimonio","interior"
"2017-03-28","robo a casa habitacion","na","na","no disponible","arandas","8","17:45","el patrimonio","interior"
