"fecha","delito","x","y","colonia","municipio","clave_mun","hora","bien_afectado","zona_geografica"
"2017-01-25","violencia familiar","na","na","no disponible","tomatlan","100","5:30","la familia","interior"
"2017-01-31","robo a vehiculos particulares","na","na","no disponible","cihuatlan","22","17:45","el patrimonio","interior"
"2017-01-19","robo a vehiculos particulares","na","na","no disponible","la huerta","43","5:30","el patrimonio","interior"
"2017-01-28","robo a negocio","na","na","no disponible","tomatlan","100","5:30","el patrimonio","interior"
"2017-02-20","lesiones dolosas","na","na","no disponible","cihuatlan","22","17:45","la vida y la integridad corporal","interior"
"2017-03-26","lesiones dolosas","na","na","no disponible","cihuatlan","22","17:45","la vida y la integridad corporal","interior"
"2017-03-07","violencia familiar","na","na","no disponible","tomatlan","100","17:45","la familia","interior"
"2017-03-10","lesiones dolosas","na","na","no disponible","cuautitlan de garcia barragan","27","17:45","la vida y la integridad corporal","interior"
"2017-03-16","lesiones dolosas","na","na","no disponible","cihuatlan","22","5:30","la vida y la integridad corporal","interior"
"2017-03-15","violencia familiar","na","na","no disponible","la huerta","43","5:30","la familia","interior"
"2017-03-10","robo a persona","na","na","no disponible","tomatlan","100","17:45","el patrimonio","interior"
"2017-03-21","lesiones dolosas","na","na","no disponible","cihuatlan","22","5:30","la vida y la integridad corporal","interior"
"2017-03-11","violencia familiar","na","na","no disponible","tomatlan","100","5:30","la familia","interior"
"2017-04-03","abuso sexual infantil","na","na","no disponible","cihuatlan","22","17:45","la libertad y la seguridad sexual","interior"
"2017-04-03","robo a negocio","na","na","no disponible","cihuatlan","22","17:45","el patrimonio","interior"
"2017-04-03","robo a vehiculos particulares","na","na","no disponible","cihuatlan","22","17:45","el patrimonio","interior"
"2017-04-24","abuso sexual infantil","na","na","no disponible","cuautitlan de garcia barragan","27","5:30","la libertad y la seguridad sexual","interior"
"2017-05-30","robo a casa habitacion","na","na","no disponible","cihuatlan","22","17:45","el patrimonio","interior"
"2017-05-15","lesiones dolosas","na","na","no disponible","cihuatlan","22","5:30","la vida y la integridad corporal","interior"
"2017-05-04","lesiones dolosas","na","na","no disponible","casimiro castillo","21","5:30","la vida y la integridad corporal","interior"
"2017-05-05","violacion","na","na","no disponible","la huerta","43","17:45","la libertad y la seguridad sexual","interior"
"2017-05-06","abuso sexual infantil","na","na","no disponible","cihuatlan","22","17:45","la libertad y la seguridad sexual","interior"
"2017-05-24","robo a persona","na","na","no disponible","tomatlan","100","17:45","el patrimonio","interior"
"2017-06-15","lesiones dolosas","na","na","no disponible","villa purificacion","68","5:30","la vida y la integridad corporal","interior"
"2017-06-05","lesiones dolosas","na","na","no disponible","cuautitlan de garcia barragan","27","5:30","la vida y la integridad corporal","interior"
