"fecha","delito","x","y","colonia","municipio","clave_mun","hora","bien_afectado","zona_geografica"
"2017-01-12","robo a casa habitacion","na","na","no disponible","san martin hidalgo","77","17:45","el patrimonio","interior"
"2017-01-20","lesiones dolosas","na","na","no disponible","tapalpa","86","5:30","la vida y la integridad corporal","interior"
"2017-01-19","robo a vehiculos particulares","na","na","no disponible","san martin hidalgo","77","5:30","el patrimonio","interior"
"2017-01-13","lesiones dolosas","na","na","no disponible","san martin hidalgo","77","5:30","la vida y la integridad corporal","interior"
"2017-01-23","violencia familiar","na","na","no disponible","san martin hidalgo","77","17:45","la familia","interior"
"2017-01-23","robo a vehiculos particulares","na","na","no disponible","san martin hidalgo","77","17:45","el patrimonio","interior"
"2017-01-02","robo a persona","na","na","no disponible","zacoalco de torres","119","17:45","el patrimonio","interior"
"2017-01-08","robo a casa habitacion","na","na","no disponible","zacoalco de torres","119","5:30","el patrimonio","interior"
"2017-01-13","robo a vehiculos particulares","na","na","no disponible","cocula","24","17:45","el patrimonio","interior"
"2017-01-26","robo de motocicleta","na","na","no disponible","san martin hidalgo","77","5:30","el patrimonio","interior"
"2017-01-09","lesiones dolosas","na","na","no disponible","san martin hidalgo","77","5:30","la vida y la integridad corporal","interior"
"2017-01-03","violencia familiar","na","na","no disponible","san martin hidalgo","77","17:45","la familia","interior"
"2017-02-17","lesiones dolosas","na","na","no disponible","san martin hidalgo","77","17:45","la vida y la integridad corporal","interior"
"2017-02-22","robo a negocio","na","na","no disponible","zacoalco de torres","119","17:45","el patrimonio","interior"
"2017-02-13","robo a persona","na","na","no disponible","sayula","82","5:30","el patrimonio","interior"
"2017-02-13","robo a casa habitacion","na","na","no disponible","cocula","24","17:45","el patrimonio","interior"
"2017-02-03","lesiones dolosas","na","na","no disponible","acatlan de juarez","2","5:30","la vida y la integridad corporal","interior"
"2017-02-02","robo a carga pesada","na","na","no disponible","cocula","24","5:30","el patrimonio","interior"
"2017-02-02","robo a negocio","na","na","no disponible","acatlan de juarez","2","17:45","el patrimonio","interior"
"2017-03-23","robo a vehiculos particulares","na","na","no disponible","acatlan de juarez","2","5:30","el patrimonio","interior"
"2017-03-16","homicidio doloso","na","na","no disponible","zacoalco de torres","119","17:45","la vida y la integridad corporal","interior"
"2017-03-14","robo a casa habitacion","na","na","no disponible","villa corona","114","5:30","el patrimonio","interior"
"2017-03-30","lesiones dolosas","na","na","no disponible","sayula","82","17:45","la vida y la integridad corporal","interior"
"2017-03-14","robo a vehiculos particulares","na","na","no disponible","san martin hidalgo","77","17:45","el patrimonio","interior"
"2017-03-17","robo a vehiculos particulares","na","na","no disponible","atemajac de brizuela","10","17:45","el patrimonio","interior"
"2017-03-23","robo a vehiculos particulares","na","na","no disponible","cocula","24","5:30","el patrimonio","interior"
"2017-03-03","lesiones dolosas","na","na","no disponible","sayula","82","17:45","la vida y la integridad corporal","interior"
"2017-03-27","abuso sexual infantil","na","na","no disponible","san martin hidalgo","77","17:45","la libertad y la seguridad sexual","interior"
"2017-03-03","robo a vehiculos particulares","na","na","no disponible","cocula","24","17:45","el patrimonio","interior"
"2017-03-30","robo a carga pesada","na","na","no disponible","sayula","82","5:30","el patrimonio","interior"
"2017-03-16","robo de motocicleta","na","na","no disponible","villa corona","114","17:45","el patrimonio","interior"
"2017-03-21","robo a casa habitacion","na","na","no disponible","villa corona","114","5:30","el patrimonio","interior"
"2017-04-12","robo a casa habitacion","na","na","no disponible","villa corona","114","5:30","el patrimonio","interior"
"2017-04-12","violencia familiar","na","na","no disponible","zacoalco de torres","119","17:45","la familia","interior"
"2017-04-11","robo a casa habitacion","na","na","no disponible","acatlan de juarez","2","5:30","el patrimonio","interior"
"2017-04-01","lesiones dolosas","na","na","no disponible","zacoalco de torres","119","17:45","la vida y la integridad corporal","interior"
"2017-04-06","lesiones dolosas","na","na","no disponible","sayula","82","5:30","la vida y la integridad corporal","interior"
"2017-04-11","homicidio doloso","na","na","no disponible","villa corona","114","5:30","la vida y la integridad corporal","interior"
