"fecha","delito","x","y","colonia","municipio","clave_mun","hora","bien_afectado","zona_geografica"
"2017-01-06","lesiones dolosas","na","na","no disponible","bolanos","19","17:45","la vida y la integridad corporal","interior"
"2017-01-18","lesiones dolosas","na","na","no disponible","totatiche","104","05:30","la vida y la integridad corporal","interior"
"2017-01-24","robo a vehiculos particulares","na","na","no disponible","san martin de bolanos","76","05:30","el patrimonio","interior"
"2017-02-28","robo a negocio","na","na","no disponible","san martin de bolanos","76","05:30","el patrimonio","interior"
"2017-02-22","lesiones dolosas","na","na","no disponible","mezquitic","61","17:45","la vida y la integridad corporal","interior"
"2017-02-13","abuso sexual infantil","na","na","no disponible","huejuquilla el alto","42","05:30","la libertad y la seguridad sexual","interior"
"2017-02-07","violacion","na","na","no disponible","colotlan","25","17:45","la libertad y la seguridad sexual","interior"
"2017-03-29","lesiones dolosas","na","na","no disponible","villa guerrero","115","17:45","la vida y la integridad corporal","interior"
"2017-03-24","abuso sexual infantil","na","na","no disponible","mezquitic","61","17:45","la libertad y la seguridad sexual","interior"
"2017-03-21","violencia familiar","na","na","no disponible","totatiche","104","17:45","la familia","interior"
"2017-03-13","violencia familiar","na","na","no disponible","huejucar","41","05:30","la familia","interior"
"2017-03-27","lesiones dolosas","na","na","no disponible","huejuquilla el alto","42","05:30","la vida y la integridad corporal","interior"
"2017-03-22","violencia familiar","na","na","no disponible","colotlan","25","05:30","la familia","interior"
"2017-03-29","robo a negocio","na","na","no disponible","totatiche","104","17:45","el patrimonio","interior"
"2017-03-10","abuso sexual infantil","na","na","no disponible","mezquitic","61","05:30","la libertad y la seguridad sexual","interior"
"2017-04-07","lesiones dolosas","na","na","no disponible","mezquitic","61","05:30","la vida y la integridad corporal","interior"
"2017-05-30","robo a vehiculos particulares","na","na","no disponible","colotlan","25","05:30","el patrimonio","interior"
"2017-05-17","lesiones dolosas","na","na","no disponible","colotlan","25","05:30","la vida y la integridad corporal","interior"
"2017-05-09","abuso sexual infantil","na","na","no disponible","colotlan","25","17:45","la libertad y la seguridad sexual","interior"
"2017-05-19","robo a vehiculos particulares","na","na","no disponible","colotlan","25","05:30","el patrimonio","interior"
"2017-05-18","abuso sexual infantil","na","na","no disponible","chimaltitan","31","05:30","la libertad y la seguridad sexual","interior"
"2017-05-12","violencia familiar","na","na","no disponible","colotlan","25","17:45","la familia","interior"
"2017-06-29","lesiones dolosas","na","na","no disponible","villa guerrero","115","17:45","la vida y la integridad corporal","interior"
"2017-06-02","lesiones dolosas","na","na","no disponible","huejuquilla el alto","42","05:30","la vida y la integridad corporal","interior"
"2017-06-22","robo a casa habitacion","na","na","no disponible","chimaltitan","31","17:45","el patrimonio","interior"
"2017-06-14","lesiones dolosas","na","na","no disponible","mezquitic","61","17:45","la vida y la integridad corporal","interior"
"2017-07-05","abuso sexual infantil","na","na","no disponible","mezquitic","61","05:30","la libertad y la seguridad sexual","interior"
"2017-07-16","robo a casa habitacion","na","na","no disponible","colotlan","25","05:30","el patrimonio","interior"
"2017-07-25","lesiones dolosas","na","na","no disponible","colotlan","25","05:30","la vida y la integridad corporal","interior"
"2017-08-10","abuso sexual infantil","na","na","no disponible","bolanos","19","17:45","la libertad y la seguridad sexual","interior"
"2017-08-02","abuso sexual infantil","na","na","no disponible","colotlan","25","05:30","la libertad y la seguridad sexual","interior"
"2017-08-21","robo a vehiculos particulares","na","na","no disponible","huejuquilla el alto","42","05:30","el patrimonio","interior"
"2017-09-11","violencia familiar","na","na","no disponible","huejuquilla el alto","42","05:30","la familia","interior"
"2017-10-26","robo a casa habitacion","na","na","no disponible","huejuquilla el alto","42","05:30","el patrimonio","interior"
"2017-10-04","robo a casa habitacion","na","na","no disponible","huejuquilla el alto","42","05:30","el patrimonio","interior"
"2017-11-17","lesiones dolosas","na","na","no disponible","huejuquilla el alto","42","05:30","la vida y la integridad corporal","interior"
"2017-11-03","violencia familiar","na","na","no disponible","huejuquilla el alto","42","05:30","la familia","interior"
"2017-12-08","lesiones dolosas","na","na","no disponible","huejucar","41","17:45","la vida y la integridad corporal","interior"
"2017-01-10","abuso sexual infantil","-104.025592","22.310197","no disponible","mezquitic","61","05:30","la libertad y la seguridad sexual","interior"
