"fecha","delito","x","y","colonia","municipio","clave_mun","hora","bien_afectado","zona_geografica"
"15/10/2019","abuso sexual infantil","-104.0966166","20.08960365","centro","juchitlan","52","n.d.","la libertad y la seguridad sexual","interior"
"02/01/2019","abuso sexual infantil","-104.0957044","20.12612794","no disponible","juchitlan","52","n.d.","la libertad y la seguridad sexual","interior"
"10/01/2019","abuso sexual infantil","-104.3523369","19.79478331","marcelino garcia barragan (azucarera)","autlan de navarro","15","n.d.","la libertad y la seguridad sexual","interior"
"10/01/2019","abuso sexual infantil","-104.2166232","19.79884057","del sur","el grullo","37","n.d.","la libertad y la seguridad sexual","interior"
"05/02/2019","abuso sexual infantil","-104.2054155","19.80552767","oriente segunda seccion","el grullo","37","n.d.","la libertad y la seguridad sexual","interior"
"06/02/2019","abuso sexual infantil","-104.3729452","19.76732645","centro","autlan de navarro","15","n.d.","la libertad y la seguridad sexual","interior"
"06/02/2019","abuso sexual infantil","-104.3848432","19.75998399","no disponible","autlan de navarro","15","n.d.","la libertad y la seguridad sexual","interior"
"08/02/2019","abuso sexual infantil","-104.3649523","19.77131898","centro","autlan de navarro","15","n.d.","la libertad y la seguridad sexual","interior"
"12/02/2019","abuso sexual infantil","-104.3446027","20.12906799","centro","ayutla","17","n.d.","la libertad y la seguridad sexual","interior"
"12/02/2019","abuso sexual infantil","-104.217451","19.81053434","el cerrito","el grullo","37","n.d.","la libertad y la seguridad sexual","interior"
"20/02/2019","abuso sexual infantil","-104.0496013","20.20973655","la loma (unidad deportiva)","tecolotlan","88","n.d.","la libertad y la seguridad sexual","interior"
"01/03/2019","abuso sexual infantil","-104.2141348","19.80422443","centro","el grullo","37","n.d.","la libertad y la seguridad sexual","interior"
"06/03/2019","abuso sexual infantil","-104.2076551","19.80450682","oriente segunda seccion","el grullo","37","n.d.","la libertad y la seguridad sexual","interior"
"25/03/2019","abuso sexual infantil","-104.2174563","19.81428701","charco de los adobes","el grullo","37","n.d.","la libertad y la seguridad sexual","interior"
"08/04/2019","abuso sexual infantil","-104.3674408","19.75938971","ejidal","autlan de navarro","15","n.d.","la libertad y la seguridad sexual","interior"
"08/04/2019","abuso sexual infantil","-104.3691053","19.78429304","el tecolote","autlan de navarro","15","n.d.","la libertad y la seguridad sexual","interior"
"23/04/2019","abuso sexual infantil","-104.3710769","19.76459599","centro","autlan de navarro","15","n.d.","la libertad y la seguridad sexual","interior"
"08/05/2019","abuso sexual infantil","-104.164502","19.90682685","ejutla","ejutla","34","n.d.","la libertad y la seguridad sexual","interior"
"30/05/2019","abuso sexual infantil","-104.3672525","19.78377828","arquitos","autlan de navarro","15","n.d.","la libertad y la seguridad sexual","interior"
"17/06/2019","abuso sexual infantil","-104.2169732","19.80492298","centro","el grullo","37","n.d.","la libertad y la seguridad sexual","interior"
"08/07/2019","abuso sexual infantil","-104.3255726","19.67490118","no disponible","autlan de navarro","15","n.d.","la libertad y la seguridad sexual","interior"
"11/07/2019","abuso sexual infantil","-104.2160381","19.80955067","el cerrito","el grullo","37","n.d.","la libertad y la seguridad sexual","interior"
"17/07/2019","abuso sexual infantil","-104.3534586","20.1260223","azteca","ayutla","17","n.d.","la libertad y la seguridad sexual","interior"
