"fecha","delito","x","y","colonia","municipio","clave_mun","hora","bien_afectado","zona_geografica"
"12/01/2017","robo a casa habitacion","na","na","no disponible","san martin hidalgo","77","17:45","el patrimonio","interior"
"20/01/2017","lesiones dolosas","na","na","no disponible","tapalpa","86","05:30","la vida y la integridad corporal","interior"
"19/01/2017","robo a vehiculos particulares","na","na","no disponible","san martin hidalgo","77","05:30","el patrimonio","interior"
"13/01/2017","lesiones dolosas","na","na","no disponible","san martin hidalgo","77","05:30","la vida y la integridad corporal","interior"
"23/01/2017","violencia familiar","na","na","no disponible","san martin hidalgo","77","17:45","la familia","interior"
"23/01/2017","robo a vehiculos particulares","na","na","no disponible","san martin hidalgo","77","17:45","el patrimonio","interior"
"02/01/2017","robo a persona","na","na","no disponible","zacoalco de torres","119","17:45","el patrimonio","interior"
"08/01/2017","robo a casa habitacion","na","na","no disponible","zacoalco de torres","119","05:30","el patrimonio","interior"
"13/01/2017","robo a vehiculos particulares","na","na","no disponible","cocula","24","17:45","el patrimonio","interior"
"26/01/2017","robo de motocicleta","na","na","no disponible","san martin hidalgo","77","05:30","el patrimonio","interior"
"09/01/2017","lesiones dolosas","na","na","no disponible","san martin hidalgo","77","05:30","la vida y la integridad corporal","interior"
"03/01/2017","violencia familiar","na","na","no disponible","san martin hidalgo","77","17:45","la familia","interior"
"17/02/2017","lesiones dolosas","na","na","no disponible","san martin hidalgo","77","17:45","la vida y la integridad corporal","interior"
"22/02/2017","robo a negocio","na","na","no disponible","zacoalco de torres","119","17:45","el patrimonio","interior"
"13/02/2017","robo a persona","na","na","no disponible","sayula","82","05:30","el patrimonio","interior"
"13/02/2017","robo a casa habitacion","na","na","no disponible","cocula","24","17:45","el patrimonio","interior"
"03/02/2017","lesiones dolosas","na","na","no disponible","acatlan de juarez","2","05:30","la vida y la integridad corporal","interior"
"02/02/2017","robo a carga pesada","na","na","no disponible","cocula","24","05:30","el patrimonio","interior"
"02/02/2017","robo a negocio","na","na","no disponible","acatlan de juarez","2","17:45","el patrimonio","interior"
"23/03/2017","robo a vehiculos particulares","na","na","no disponible","acatlan de juarez","2","05:30","el patrimonio","interior"
"16/03/2017","homicidio doloso","na","na","no disponible","zacoalco de torres","119","17:45","la vida y la integridad corporal","interior"
