"fecha","delito","x","y","colonia","municipio","clave_mun","hora","bien_afectado","zona_geografica"
"2017-01-26","robo casa habitacion","na","na","no disponible","jocotepec","50","17:45","el patrimonio","interior"
"2017-01-23","robo a carga pesada","na","na","no disponible","jocotepec","50","5:30","el patrimonio","interior"
"2017-01-18","robo casa habitacion","na","na","no disponible","chapala","30","5:30","el patrimonio","interior"
"2017-01-18","robo casa habitacion","na","na","no disponible","chapala","30","17:45","el patrimonio","interior"
"2017-01-30","robo a vehiculos particulares","na","na","no disponible","chapala","30","17:45","el patrimonio","interior"
"2017-01-23","robo a carga pesada","na","na","no disponible","jocotepec","50","17:45","el patrimonio","interior"
"2017-01-10","lesiones dolosas","na","na","no disponible","chapala","30","5:30","la vida y la integridad corporal","interior"
"2017-01-04","violencia familiar","na","na","no disponible","chapala","30","17:45","la familia","interior"
"2017-02-14","robo a persona","na","na","no disponible","chapala","30","5:30","el patrimonio","interior"
"2017-02-21","lesiones dolosas","na","na","no disponible","mazamitla","59","5:30","la vida y la integridad corporal","interior"
"2017-02-25","lesiones dolosas","na","na","no disponible","valle de juarez","112","5:30","la vida y la integridad corporal","interior"
"2017-02-22","lesiones dolosas","na","na","no disponible","chapala","30","17:45","la vida y la integridad corporal","interior"
"2017-02-03","robo a persona","na","na","no disponible","chapala","30","17:45","el patrimonio","interior"
"2017-03-03","robo a vehiculos particulares","na","na","no disponible","jocotepec","50","17:45","el patrimonio","interior"
"2017-03-18","robo casa habitacion","na","na","no disponible","chapala","30","5:30","el patrimonio","interior"
"2017-03-26","violacion","na","na","no disponible","jocotepec","50","5:30","la libertad y la seguridad sexual","interior"
"2017-03-14","robo casa habitacion","na","na","no disponible","valle de juarez","112","17:45","el patrimonio","interior"
"2017-03-18","violencia familiar","na","na","no disponible","chapala","30","5:30","la familia","interior"
"2017-03-30","robo a negocio","na","na","no disponible","chapala","30","5:30","el patrimonio","interior"
"2017-03-01","robo a vehiculos particulares","na","na","no disponible","chapala","30","5:30","el patrimonio","interior"
"2017-03-15","violencia familiar","na","na","no disponible","chapala","30","5:30","la familia","interior"
"2017-03-14","robo casa habitacion","na","na","no disponible","chapala","30","17:45","el patrimonio","interior"
"2017-03-01","robo casa habitacion","na","na","no disponible","chapala","30","17:45","el patrimonio","interior"
"2017-03-05","violencia familiar","na","na","no disponible","chapala","30","17:45","la familia","interior"
"2017-03-27","robo casa habitacion","na","na","no disponible","mazamitla","59","17:45","el patrimonio","interior"
"2017-03-27","robo casa habitacion","na","na","no disponible","mazamitla","59","5:30","el patrimonio","interior"
"2017-03-02","lesiones dolosas","na","na","no disponible","mazamitla","59","17:45","la vida y la integridad corporal","interior"
"2017-03-17","abuso sexual infantil","na","na","no disponible","chapala","30","17:45","la libertad y la seguridad sexual","interior"
"2017-03-29","lesiones dolosas","na","na","no disponible","tizapan el alto","96","5:30","la vida y la integridad corporal","interior"
"2017-03-27","lesiones dolosas","na","na","no disponible","jocotepec","50","5:30","la vida y la integridad corporal","interior"
"2017-03-31","robo a vehiculos particulares","na","na","no disponible","chapala","30","17:45","el patrimonio","interior"
"2017-03-16","lesiones dolosas","na","na","no disponible","mazamitla","59","17:45","la vida y la integridad corporal","interior"
"2017-04-20","lesiones dolosas","na","na","no disponible","jocotepec","50","5:30","la vida y la integridad corporal","interior"
