"fecha","delito","x","y","colonia","municipio","clave_mun","hora","bien_afectado","zona_geografica"
"26/01/2017","robo a casa habitacion","na","na","no disponible","autlan de navarro","15","17:45","el patrimonio","interior"
"27/01/2017","robo a negocio","na","na","no disponible","ejutla","34","05:30","el patrimonio","interior"
"04/01/2017","violencia familiar","na","na","no disponible","autlan de navarro","15","05:30","la familia","interior"
"06/01/2017","lesiones dolosas","na","na","no disponible","autlan de navarro","15","05:30","la vida y la integridad corporal","interior"
"05/01/2017","robo de motocicleta","na","na","no disponible","ayutla","17","17:45","el patrimonio","interior"
"27/01/2017","robo a vehiculos particulares","na","na","no disponible","tecolotlan","88","17:45","el patrimonio","interior"
"07/01/2017","violacion","na","na","no disponible","autlan de navarro","15","05:30","la libertad y la seguridad sexual","interior"
"11/01/2017","violacion","na","na","no disponible","tecolotlan","88","05:30","la libertad y la seguridad sexual","interior"
"26/01/2017","robo a casa habitacion","na","na","no disponible","autlan de navarro","15","17:45","el patrimonio","interior"
"12/01/2017","robo a casa habitacion","na","na","no disponible","autlan de navarro","15","05:30","el patrimonio","interior"
"09/02/2017","violencia familiar","na","na","no disponible","union de tula","110","05:30","la familia","interior"
"26/02/2017","robo a negocio","na","na","no disponible","autlan de navarro","15","17:45","el patrimonio","interior"
"19/02/2017","lesiones dolosas","na","na","no disponible","autlan de navarro","15","05:30","la vida y la integridad corporal","interior"
"04/02/2017","lesiones dolosas","na","na","no disponible","autlan de navarro","15","05:30","la vida y la integridad corporal","interior"
"09/02/2017","lesiones dolosas","na","na","no disponible","union de tula","110","05:30","la vida y la integridad corporal","interior"
"04/02/2017","lesiones dolosas","na","na","no disponible","autlan de navarro","15","05:30","la vida y la integridad corporal","interior"
"05/02/2017","lesiones dolosas","na","na","no disponible","union de tula","110","05:30","la vida y la integridad corporal","interior"
"12/02/2017","lesiones dolosas","na","na","no disponible","autlan de navarro","15","05:30","la vida y la integridad corporal","interior"
"14/03/2017","violencia familiar","na","na","no disponible","ayutla","17","05:30","la familia","interior"
"12/03/2017","homicidio doloso","na","na","no disponible","tecolotlan","88","05:30","la vida y la integridad corporal","interior"
"09/03/2017","robo a negocio","na","na","no disponible","el grullo","37","05:30","el patrimonio","interior"
"08/03/2017","lesiones dolosas","na","na","no disponible","autlan de navarro","15","05:30","la vida y la integridad corporal","interior"
"09/03/2017","robo a negocio","na","na","no disponible","el grullo","37","05:30","el patrimonio","interior"
"03/03/2017","violencia familiar","na","na","no disponible","autlan de navarro","15","17:45","la familia","interior"
"01/03/2017","violencia familiar","na","na","no disponible","autlan de navarro","15","17:45","la familia","interior"
"29/03/2017","robo a casa habitacion","na","na","no disponible","ayutla","17","05:30","el patrimonio","interior"
"08/04/2017","lesiones dolosas","na","na","no disponible","autlan de navarro","15","17:45","la vida y la integridad corporal","interior"
"25/04/2017","lesiones dolosas","na","na","no disponible","autlan de navarro","15","17:45","la vida y la integridad corporal","interior"
"06/04/2017","lesiones dolosas","na","na","no disponible","union de tula","110","05:30","la vida y la integridad corporal","interior"
"04/04/2017","abuso sexual infantil","na","na","no disponible","tonaya","102","17:45","la libertad y la seguridad sexual","interior"
"10/04/2017","lesiones dolosas","na","na","no disponible","autlan de navarro","15","05:30","la vida y la integridad corporal","interior"
"28/04/2017","robo a casa habitacion","na","na","no disponible","autlan de navarro","15","17:45","el patrimonio","interior"
"29/04/2017","robo a casa habitacion","na","na","no disponible","atengo","11","05:30","el patrimonio","interior"
"16/04/2017","robo a casa habitacion","na","na","no disponible","autlan de navarro","15","17:45","el patrimonio","interior"
"02/04/2017","lesiones dolosas","na","na","no disponible","autlan de navarro","15","05:30","la vida y la integridad corporal","interior"
"10/04/2017","abuso sexual infantil","na","na","no disponible","autlan de navarro","15","17:45","la libertad y la seguridad sexual","interior"
"13/05/2017","lesiones dolosas","na","na","no disponible","autlan de navarro","15","05:30","la vida y la integridad corporal","interior"
"01/05/2017","robo a persona","na","na","no disponible","autlan de navarro","15","17:45","el patrimonio","interior"
"29/05/2017","violencia familiar","na","na","no disponible","autlan de navarro","15","05:30","la familia","interior"
"10/05/2017","lesiones dolosas","na","na","no disponible","autlan de navarro","15","17:45","la vida y la integridad corporal","interior"
"22/06/2017","lesiones dolosas","na","na","no disponible","autlan de navarro","15","17:45","la vida y la integridad corporal","interior"
"02/06/2017","lesiones dolosas","na","na","no disponible","el grullo","37","17:45","la vida y la integridad corporal","interior"
"08/06/2017","violencia familiar","na","na","no disponible","el grullo","37","17:45","la familia","interior"
"01/06/2017","lesiones dolosas","na","na","no disponible","union de tula","110","05:30","la vida y la integridad corporal","interior"
"06/06/2017","robo a negocio","na","na","no disponible","autlan de navarro","15","05:30","el patrimonio","interior"
"26/06/2017","lesiones dolosas","na","na","no disponible","tecolotlan","88","17:45","la vida y la integridad corporal","interior"
"30/07/2017","lesiones dolosas","na","na","no disponible","autlan de navarro","15","05:30","la vida y la integridad corporal","interior"
"04/07/2017","robo a persona","na","na","no disponible","autlan de navarro","15","17:45","el patrimonio","interior"
"04/07/2017","robo a vehiculos particulares","na","na","no disponible","tecolotlan","88","17:45","el patrimonio","interior"
"04/07/2017","abuso sexual infantil","na","na","no disponible","autlan de navarro","15","17:45","la libertad y la seguridad sexual","interior"
"17/07/2017","violencia familiar","na","na","no disponible","tecolotlan","88","17:45","la familia","interior"
"06/07/2017","lesiones dolosas","na","na","no disponible","autlan de navarro","15","05:30","la vida y la integridad corporal","interior"
"24/07/2017","lesiones dolosas","na","na","no disponible","autlan de navarro","15","17:45","la vida y la integridad corporal","interior"
"31/07/2017","violencia familiar","na","na","no disponible","autlan de navarro","15","05:30","la familia","interior"
"13/07/2017","robo a vehiculos particulares","na","na","no disponible","autlan de navarro","15","05:30","el patrimonio","interior"
"20/07/2017","violencia familiar","na","na","no disponible","autlan de navarro","15","05:30","la familia","interior"
"05/07/2017","robo a casa habitacion","na","na","no disponible","autlan de navarro","15","05:30","el patrimonio","interior"
"17/07/2017","lesiones dolosas","na","na","no disponible","autlan de navarro","15","17:45","la vida y la integridad corporal","interior"
"25/08/2017","lesiones dolosas","na","na","no disponible","tecolotlan","88","05:30","la vida y la integridad corporal","interior"
"28/08/2017","violencia familiar","na","na","no disponible","autlan de navarro","15","17:45","la familia","interior"
"16/08/2017","violacion","na","na","no disponible","autlan de navarro","15","05:30","la libertad y la seguridad sexual","interior"
"02/08/2017","lesiones dolosas","na","na","no disponible","autlan de navarro","15","05:30","la vida y la integridad corporal","interior"
"14/08/2017","violencia familiar","na","na","no disponible","autlan de navarro","15","17:45","la familia","interior"
"03/08/2017","violacion","na","na","no disponible","ejutla","34","17:45","la libertad y la seguridad sexual","interior"
"05/08/2017","robo a vehiculos particulares","na","na","no disponible","chiquilistlan","32","17:45","el patrimonio","interior"
"17/09/2017","lesiones dolosas","na","na","no disponible","autlan de navarro","15","17:45","la vida y la integridad corporal","interior"
"10/09/2017","robo a persona","na","na","no disponible","autlan de navarro","15","05:30","el patrimonio","interior"
"11/09/2017","abuso sexual infantil","na","na","no disponible","el grullo","37","05:30","la libertad y la seguridad sexual","interior"
"22/09/2017","robo a casa habitacion","na","na","no disponible","autlan de navarro","15","05:30","el patrimonio","interior"
"28/09/2017","robo a vehiculos particulares","na","na","no disponible","tecolotlan","88","05:30","el patrimonio","interior"
"14/09/2017","abuso sexual infantil","na","na","no disponible","ayutla","17","17:45","la libertad y la seguridad sexual","interior"
"27/09/2017","abuso sexual infantil","na","na","no disponible","el limon","54","17:45","la libertad y la seguridad sexual","interior"
"18/09/2017","lesiones dolosas","na","na","no disponible","ayutla","17","05:30","la vida y la integridad corporal","interior"
"11/10/2017","abuso sexual infantil","na","na","no disponible","ejutla","34","17:45","la libertad y la seguridad sexual","interior"
