"fecha","delito","x","y","colonia","municipio","clave_mun","hora","bien_afectado","zona_geografica"
"2017-01-04","lesiones dolosas","na","na","no disponible","zapotlan el grande","23","17:45","la vida y la integridad corporal","interior"
"2017-01-14","robo a carga pesada","na","na","no disponible","zapotiltic","121","17:45","el patrimonio","interior"
"2017-01-11","lesiones dolosas","na","na","no disponible","zapotiltic","121","5:30","la vida y la integridad corporal","interior"
"2017-01-14","robo a persona","na","na","no disponible","gomez farias","79","17:45","el patrimonio","interior"
"2017-01-24","robo a casa habitacion","na","na","no disponible","zapotlan el grande","23","17:45","el patrimonio","interior"
"2017-01-06","lesiones dolosas","na","na","no disponible","tamazula de gordiano","85","17:45","la vida y la integridad corporal","interior"
"2017-01-09","robo a vehiculos particulares","na","na","no disponible","jilotlan de los dolores","49","5:30","el patrimonio","interior"
"2017-01-12","robo a vehiculos particulares","na","na","no disponible","zapotlan el grande","23","5:30","el patrimonio","interior"
"2017-01-25","lesiones dolosas","na","na","no disponible","zapotlan el grande","23","17:45","la vida y la integridad corporal","interior"
"2017-01-25","robo a vehiculos particulares","na","na","no disponible","zapotlan el grande","23","5:30","el patrimonio","interior"
"2017-01-30","lesiones dolosas","na","na","no disponible","san gabriel","113","17:45","la vida y la integridad corporal","interior"
"2017-01-24","lesiones dolosas","na","na","no disponible","zapotiltic","121","17:45","la vida y la integridad corporal","interior"
"2017-01-30","robo a casa habitacion","na","na","no disponible","zapotlan el grande","23","5:30","el patrimonio","interior"
"2017-01-25","robo a vehiculos particulares","na","na","no disponible","zapotitlan de vadillo","122","17:45","el patrimonio","interior"
"2017-01-30","robo a vehiculos particulares","na","na","no disponible","zapotlan el grande","23","17:45","el patrimonio","interior"
"2017-01-02","robo a int de vehiculos","na","na","no disponible","zapotlan el grande","23","17:45","el patrimonio","interior"
"2017-01-27","lesiones dolosas","na","na","no disponible","toliman","99","17:45","la vida y la integridad corporal","interior"
"2017-02-01","lesiones dolosas","na","na","no disponible","san gabriel","113","17:45","la vida y la integridad corporal","interior"
"2017-02-03","robo a vehiculos particulares","na","na","no disponible","tecalitlan","87","17:45","el patrimonio","interior"
"2017-02-01","abuso sexual infantil","na","na","no disponible","zapotlan el grande","23","17:45","la libertad y la seguridad sexual","interior"
"2017-02-03","robo a negocio","na","na","no disponible","zapotlan el grande","23","17:45","el patrimonio","interior"
"2017-02-09","abuso sexual infantil","na","na","no disponible","tuxpan","108","5:30","la libertad y la seguridad sexual","interior"
"2017-02-11","robo a negocio","na","na","no disponible","toliman","99","17:45","el patrimonio","interior"
"2017-03-31","robo a vehiculos particulares","na","na","no disponible","tonila","103","5:30","el patrimonio","interior"
"2017-03-23","robo a vehiculos particulares","na","na","no disponible","zapotiltic","121","5:30","el patrimonio","interior"
"2017-03-17","robo a negocio","na","na","no disponible","zapotlan el grande","23","5:30","el patrimonio","interior"
"2017-03-30","robo a vehiculos particulares","na","na","no disponible","zapotiltic","121","17:45","el patrimonio","interior"
"2017-03-03","lesiones dolosas","na","na","no disponible","toliman","99","17:45","la vida y la integridad corporal","interior"
"2017-03-14","robo a vehiculos particulares","na","na","no disponible","zapotlan el grande","23","17:45","el patrimonio","interior"
"2017-03-23","robo a vehiculos particulares","na","na","no disponible","zapotlan el grande","23","17:45","el patrimonio","interior"
"2017-03-31","homicidio doloso","na","na","no disponible","tuxpan","108","17:45","la vida y la integridad corporal","interior"
"2017-03-18","robo a carga pesada","na","na","no disponible","tonila","103","5:30","el patrimonio","interior"
"2017-03-07","lesiones dolosas","na","na","no disponible","zapotlan el grande","23","5:30","la vida y la integridad corporal","interior"
"2017-04-10","robo a casa habitacion","na","na","no disponible","zapotitlan de vadillo","122","17:45","el patrimonio","interior"
"2017-04-04","robo a vehiculos particulares","na","na","no disponible","jilotlan de los dolores","49","5:30","el patrimonio","interior"
"2017-04-10","robo a vehiculos particulares","na","na","no disponible","zapotlan el grande","23","5:30","el patrimonio","interior"
"2017-04-23","abuso sexual infantil","na","na","no disponible","zapotlan el grande","23","5:30","la libertad y la seguridad sexual","interior"
"2017-04-05","robo a int de vehiculos","na","na","no disponible","zapotiltic","121","5:30","el patrimonio","interior"
"2017-04-21","lesiones dolosas","na","na","no disponible","zapotlan el grande","23","5:30","la vida y la integridad corporal","interior"
"2017-04-27","abuso sexual infantil","na","na","no disponible","zapotiltic","121","17:45","la libertad y la seguridad sexual","interior"
"2017-04-25","robo a vehiculos particulares","na","na","no disponible","zapotiltic","121","5:30","el patrimonio","interior"
"2017-04-28","robo de motocicleta","na","na","no disponible","zapotlan el grande","23","17:45","el patrimonio","interior"
"2017-04-25","violencia familiar","na","na","no disponible","tonila","103","17:45","la familia","interior"
"2017-04-23","robo a casa habitacion","na","na","no disponible","zapotlan el grande","23","5:30","el patrimonio","interior"
"2017-04-21","robo a negocio","na","na","no disponible","gomez farias","79","17:45","el patrimonio","interior"
"2017-04-15","robo a negocio","na","na","no disponible","zapotlan el grande","23","17:45","el patrimonio","interior"
"2017-04-18","lesiones dolosas","na","na","no disponible","zapotlan el grande","23","17:45","la vida y la integridad corporal","interior"
"2017-05-03","robo a negocio","na","na","no disponible","tuxpan","108","17:45","el patrimonio","interior"
"2017-05-03","robo a int de vehiculos","na","na","no disponible","zapotlan el grande","23","17:45","el patrimonio","interior"
"2017-05-28","robo a int de vehiculos","na","na","no disponible","zapotiltic","121","5:30","el patrimonio","interior"
"2017-05-08","robo a int de vehiculos","na","na","no disponible","zapotlan el grande","23","5:30","el patrimonio","interior"
"2017-05-12","robo a negocio","na","na","no disponible","zapotiltic","121","5:30","el patrimonio","interior"
"2017-05-30","robo a negocio","na","na","no disponible","zapotlan el grande","23","5:30","el patrimonio","interior"
"2017-05-19","robo a vehiculos particulares","na","na","no disponible","zapotlan el grande","23","5:30","el patrimonio","interior"
"2017-05-26","robo a vehiculos particulares","na","na","no disponible","zapotlan el grande","23","17:45","el patrimonio","interior"
"2017-05-02","lesiones dolosas","na","na","no disponible","zapotlan el grande","23","17:45","la vida y la integridad corporal","interior"
"2017-05-15","robo de motocicleta","na","na","no disponible","zapotlan el grande","23","5:30","el patrimonio","interior"
"2017-05-08","robo a persona","na","na","no disponible","zapotlan el grande","23","5:30","el patrimonio","interior"
"2017-05-04","robo a vehiculos particulares","na","na","no disponible","zapotlan el grande","23","5:30","el patrimonio","interior"
"2017-05-24","robo de autopartes","na","na","no disponible","zapotlan el grande","23","17:45","el patrimonio","interior"
"2017-05-23","robo a vehiculos particulares","na","na","no disponible","zapotlan el grande","23","5:30","el patrimonio","interior"
"2017-05-15","robo de motocicleta","na","na","no disponible","zapotiltic","121","17:45","el patrimonio","interior"
"2017-06-20","abuso sexual infantil","na","na","no disponible","zapotlan el grande","23","5:30","la libertad y la seguridad sexual","interior"
"2017-06-26","violencia familiar","na","na","no disponible","tuxpan","108","17:45","la familia","interior"
"2017-06-26","robo a vehiculos particulares","na","na","no disponible","zapotiltic","121","17:45","el patrimonio","interior"
"2017-06-28","lesiones dolosas","na","na","no disponible","zapotlan el grande","23","5:30","la vida y la integridad corporal","interior"
"2017-06-05","violencia familiar","na","na","no disponible","zapotlan el grande","23","5:30","la familia","interior"
"2017-06-05","robo a negocio","na","na","no disponible","zapotlan el grande","23","17:45","el patrimonio","interior"
"2017-06-14","lesiones dolosas","na","na","no disponible","zapotlan el grande","23","17:45","la vida y la integridad corporal","interior"
"2017-06-05","robo a carga pesada","na","na","no disponible","zapotlan el grande","23","17:45","el patrimonio","interior"
"2017-06-28","lesiones dolosas","na","na","no disponible","san gabriel","113","17:45","la vida y la integridad corporal","interior"
"2017-06-30","robo de motocicleta","na","na","no disponible","zapotiltic","121","17:45","el patrimonio","interior"
"2017-06-07","lesiones dolosas","na","na","no disponible","zapotlan el grande","23","17:45","la vida y la integridad corporal","interior"
"2017-06-01","homicidio doloso","na","na","no disponible","zapotlan el grande","23","17:45","la vida y la integridad corporal","interior"
