"fecha","delito","x","y","colonia","municipio","clave_mun","hora","bien_afectado","zona_geografica"
"2017-01-07","lesiones dolosas","na","na","no disponible","ahualulco de mercado","3","5:30","la vida y la integridad corporal","interior"
"2017-01-19","robo a negocio","na","na","no disponible","tala","83","17:45","el patrimonio","interior"
"2017-01-23","robo a vehiculos particulares","na","na","no disponible","tala","83","17:45","el patrimonio","interior"
"2017-01-04","abuso sexual infantil","na","na","no disponible","el arenal","9","5:30","la libertad y la seguridad sexual","interior"
"2017-01-05","robo a casa habitacion","na","na","no disponible","ameca","6","17:45","el patrimonio","interior"
"2017-01-15","robo a persona","na","na","no disponible","tequila","94","5:30","el patrimonio","interior"
"2017-01-12","robo a persona","na","na","no disponible","tala","83","5:30","el patrimonio","interior"
"2017-01-11","lesiones dolosas","na","na","no disponible","tala","83","17:45","la vida y la integridad corporal","interior"
"2017-01-04","robo a casa habitacion","na","na","no disponible","tala","83","17:45","el patrimonio","interior"
"2017-01-06","violencia familiar","na","na","no disponible","tequila","94","5:30","la familia","interior"
"2017-01-30","robo a casa habitacion","na","na","no disponible","el arenal","9","17:45","el patrimonio","interior"
"2017-01-06","robo a persona","na","na","no disponible","ameca","6","5:30","el patrimonio","interior"
"2017-01-02","violencia familiar","na","na","no disponible","amatitan","5","5:30","la familia","interior"
"2017-01-10","robo a casa habitacion","na","na","no disponible","tala","83","17:45","el patrimonio","interior"
"2017-01-25","violencia familiar","na","na","no disponible","hostotipaquillo","40","5:30","la familia","interior"
"2017-02-10","robo de motocicleta","na","na","no disponible","tala","83","17:45","el patrimonio","interior"
"2017-02-07","lesiones dolosas","na","na","no disponible","el arenal","9","5:30","la vida y la integridad corporal","interior"
"2017-02-17","violencia familiar","na","na","no disponible","ahualulco de mercado","3","17:45","la familia","interior"
"2017-02-27","robo de motocicleta","na","na","no disponible","tala","83","17:45","el patrimonio","interior"
"2017-02-02","lesiones dolosas","na","na","no disponible","ameca","6","5:30","la vida y la integridad corporal","interior"
"2017-02-15","robo a casa habitacion","na","na","no disponible","tala","83","5:30","el patrimonio","interior"
"2017-02-10","robo a casa habitacion","na","na","no disponible","magdalena","55","5:30","el patrimonio","interior"
"2017-02-16","violencia familiar","na","na","no disponible","ameca","6","17:45","la familia","interior"
"2017-02-23","robo a casa habitacion","na","na","no disponible","tala","83","5:30","el patrimonio","interior"
"2017-02-09","robo de motocicleta","na","na","no disponible","tala","83","17:45","el patrimonio","interior"
"2017-02-16","robo a casa habitacion","na","na","no disponible","el arenal","9","17:45","el patrimonio","interior"
"2017-02-21","robo a persona","na","na","no disponible","tala","83","5:30","el patrimonio","interior"
"2017-02-23","robo a casa habitacion","na","na","no disponible","tala","83","17:45","el patrimonio","interior"
"2017-02-02","robo de motocicleta","na","na","no disponible","tala","83","17:45","el patrimonio","interior"
"2017-03-09","robo a vehiculos particulares","na","na","no disponible","tala","83","17:45","el patrimonio","interior"
"2017-03-21","robo a vehiculos particulares","na","na","no disponible","tequila","94","5:30","el patrimonio","interior"
"2017-03-09","robo a casa habitacion","na","na","no disponible","tala","83","5:30","el patrimonio","interior"
"2017-03-03","robo a casa habitacion","na","na","no disponible","tala","83","17:45","el patrimonio","interior"
"2017-03-15","violencia familiar","na","na","no disponible","ameca","6","5:30","la familia","interior"
"2017-03-23","robo a casa habitacion","na","na","no disponible","tala","83","5:30","el patrimonio","interior"
"2017-03-09","robo a casa habitacion","na","na","no disponible","tala","83","17:45","el patrimonio","interior"
"2017-03-10","robo a vehiculos particulares","na","na","no disponible","tala","83","5:30","el patrimonio","interior"
"2017-03-09","robo de motocicleta","na","na","no disponible","tala","83","17:45","el patrimonio","interior"
"2017-03-24","abuso sexual infantil","na","na","no disponible","tala","83","5:30","la libertad y la seguridad sexual","interior"
"2017-03-09","violencia familiar","na","na","no disponible","magdalena","55","17:45","la familia","interior"
"2017-03-23","robo a persona","na","na","no disponible","tala","83","17:45","el patrimonio","interior"
"2017-03-27","robo a casa habitacion","na","na","no disponible","ameca","6","5:30","el patrimonio","interior"
"2017-03-02","robo a casa habitacion","na","na","no disponible","tala","83","5:30","el patrimonio","interior"
"2017-03-14","robo a vehiculos particulares","na","na","no disponible","tala","83","5:30","el patrimonio","interior"
"2017-03-31","robo a vehiculos particulares","na","na","no disponible","teuchitlan","95","5:30","el patrimonio","interior"
"2017-03-03","robo a casa habitacion","na","na","no disponible","tala","83","17:45","el patrimonio","interior"
"2017-03-09","robo de motocicleta","na","na","no disponible","tala","83","17:45","el patrimonio","interior"
"2017-03-09","robo a int de vehiculos","na","na","no disponible","ameca","6","5:30","el patrimonio","interior"
"2017-03-22","lesiones dolosas","na","na","no disponible","magdalena","55","5:30","la vida y la integridad corporal","interior"
"2017-03-30","robo a casa habitacion","na","na","no disponible","tala","83","17:45","el patrimonio","interior"
"2017-03-10","robo a casa habitacion","na","na","no disponible","tala","83","5:30","el patrimonio","interior"
"2017-04-05","robo a casa habitacion","na","na","no disponible","tala","83","5:30","el patrimonio","interior"
"2017-04-18","robo a casa habitacion","na","na","no disponible","tala","83","17:45","el patrimonio","interior"
"2017-04-07","robo a int de vehiculos","na","na","no disponible","tala","83","17:45","el patrimonio","interior"
"2017-04-05","robo a casa habitacion","na","na","no disponible","tala","83","17:45","el patrimonio","interior"
"2017-04-04","robo a int de vehiculos","na","na","no disponible","tala","83","17:45","el patrimonio","interior"
"2017-04-13","robo a casa habitacion","na","na","no disponible","tala","83","17:45","el patrimonio","interior"
"2017-04-21","lesiones dolosas","na","na","no disponible","tala","83","5:30","la vida y la integridad corporal","interior"
"2017-04-28","abuso sexual infantil","na","na","no disponible","tequila","94","5:30","la libertad y la seguridad sexual","interior"
"2017-04-05","lesiones dolosas","na","na","no disponible","tala","83","17:45","la vida y la integridad corporal","interior"
"2017-04-13","robo a persona","na","na","no disponible","el arenal","9","17:45","el patrimonio","interior"
"2017-04-19","robo a negocio","na","na","no disponible","tequila","94","5:30","el patrimonio","interior"
"2017-04-29","homicidio doloso","na","na","no disponible","tala","83","5:30","la vida y la integridad corporal","interior"
"2017-04-12","violencia familiar","na","na","no disponible","ameca","6","5:30","la familia","interior"
"2017-04-19","robo a negocio","na","na","no disponible","tequila","94","17:45","el patrimonio","interior"
"2017-04-17","robo a casa habitacion","na","na","no disponible","ameca","6","17:45","el patrimonio","interior"
"2017-04-03","lesiones dolosas","na","na","no disponible","el arenal","9","17:45","la vida y la integridad corporal","interior"
"2017-04-19","violencia familiar","na","na","no disponible","tequila","94","17:45","la familia","interior"
"2017-04-17","robo a int de vehiculos","na","na","no disponible","tala","83","17:45","el patrimonio","interior"
"2017-04-26","abuso sexual infantil","na","na","no disponible","el arenal","9","5:30","la libertad y la seguridad sexual","interior"
"2017-04-18","robo de motocicleta","na","na","no disponible","amatitan","5","5:30","el patrimonio","interior"
"2017-04-10","violencia familiar","na","na","no disponible","tala","83","17:45","la familia","interior"
"2017-04-15","lesiones dolosas","na","na","no disponible","magdalena","55","5:30","la vida y la integridad corporal","interior"
"2017-05-23","robo a casa habitacion","na","na","no disponible","tala","83","17:45","el patrimonio","interior"
"2017-05-22","lesiones dolosas","na","na","no disponible","tala","83","17:45","la vida y la integridad corporal","interior"
"2017-05-11","violencia familiar","na","na","no disponible","tala","83","5:30","la familia","interior"
"2017-05-27","lesiones dolosas","na","na","no disponible","tala","83","5:30","la vida y la integridad corporal","interior"
"2017-05-03","lesiones dolosas","na","na","no disponible","ameca","6","17:45","la vida y la integridad corporal","interior"
"2017-05-25","robo a casa habitacion","na","na","no disponible","ameca","6","17:45","el patrimonio","interior"
"2017-05-24","abuso sexual infantil","na","na","no disponible","magdalena","55","5:30","la libertad y la seguridad sexual","interior"
"2017-05-19","lesiones dolosas","na","na","no disponible","ameca","6","5:30","la vida y la integridad corporal","interior"
"2017-05-25","lesiones dolosas","na","na","no disponible","tequila","94","17:45","la vida y la integridad corporal","interior"
"2017-06-06","violencia familiar","na","na","no disponible","ameca","6","17:45","la familia","interior"
"2017-06-30","violencia familiar","na","na","no disponible","ameca","6","5:30","la familia","interior"
"2017-06-28","violencia familiar","na","na","no disponible","tala","83","17:45","la familia","interior"
"2017-06-19","robo a negocio","na","na","no disponible","hostotipaquillo","40","17:45","el patrimonio","interior"
"2017-06-21","robo a persona","na","na","no disponible","ameca","6","17:45","el patrimonio","interior"
"2017-06-28","robo a persona","na","na","no disponible","tala","83","17:45","el patrimonio","interior"
"2017-06-27","lesiones dolosas","na","na","no disponible","magdalena","55","17:45","la vida y la integridad corporal","interior"
"2017-06-16","robo a vehiculos particulares","na","na","no disponible","ameca","6","17:45","el patrimonio","interior"
"2017-06-07","robo a casa habitacion","na","na","no disponible","el arenal","9","17:45","el patrimonio","interior"
"2017-06-05","robo a casa habitacion","na","na","no disponible","tala","83","17:45","el patrimonio","interior"
"2017-06-14","robo a negocio","na","na","no disponible","el arenal","9","5:30","el patrimonio","interior"
"2017-06-27","robo a casa habitacion","na","na","no disponible","amatitan","5","17:45","el patrimonio","interior"
"2017-06-26","homicidio doloso","na","na","no disponible","tequila","94","17:45","la vida y la integridad corporal","interior"
"2017-06-30","robo de motocicleta","na","na","no disponible","tala","83","17:45","el patrimonio","interior"
"2017-06-14","robo a negocio","na","na","no disponible","el arenal","9","5:30","el patrimonio","interior"
"2017-06-15","robo a carga pesada","na","na","no disponible","el arenal","9","5:30","el patrimonio","interior"
"2017-06-14","robo a casa habitacion","na","na","no disponible","ameca","6","5:30","el patrimonio","interior"
"2017-06-26","robo a casa habitacion","na","na","no disponible","tala","83","5:30","el patrimonio","interior"
"2017-06-26","robo a persona","na","na","no disponible","teuchitlan","95","17:45","el patrimonio","interior"
"2017-06-26","robo a negocio","na","na","no disponible","tala","83","17:45","el patrimonio","interior"
"2017-06-12","lesiones dolosas","na","na","no disponible","ameca","6","17:45","la vida y la integridad corporal","interior"
