"fecha","delito","x","y","colonia","municipio","clave_mun","hora","bien_afectado","zona_geografica","ID_municipio_unico"
"2017-05-30","Robo a vehículos particulares",NA,NA,"NO DISPONIBLE","Encarnación de Díaz",35,"5:30","El patrimonio","Interior","MUN035"
"2017-08-09","Robo a casa habitación",NA,NA,"NO DISPONIBLE","Lagos de Moreno",53,"17:45","El patrimonio","Interior","MUN053"
"2017-01-09","Lesiones dolosas",NA,NA,"NO DISPONIBLE","Ojuelos de Jalisco",64,"5:30","La vida y la integridad corporal","Interior","MUN064"
"2017-01-27","Robo a negocio",NA,NA,"NO DISPONIBLE","San Juan de los Lagos",73,"17:45","El patrimonio","Interior","MUN073"
"2017-01-27","Robo a vehículos particulares",NA,NA,"NO DISPONIBLE","Lagos de Moreno",53,"17:45","El patrimonio","Interior","MUN053"
"2017-01-13","Lesiones dolosas",NA,NA,"NO DISPONIBLE","Teocaltiche",91,"17:45","La vida y la integridad corporal","Interior","MUN091"
"2017-01-23","Robo a persona",NA,NA,"NO DISPONIBLE","Lagos de Moreno",53,"5:30","El patrimonio","Interior","MUN053"
"2017-01-20","Robo de motocicleta",NA,NA,"NO DISPONIBLE","San Juan de los Lagos",73,"5:30","El patrimonio","Interior","MUN073"
"2017-01-27","Robo de motocicleta",NA,NA,"NO DISPONIBLE","Lagos de Moreno",53,"17:45","El patrimonio","Interior","MUN053"
"2017-01-23","Robo de motocicleta",NA,NA,"NO DISPONIBLE","Lagos de Moreno",53,"17:45","El patrimonio","Interior","MUN053"
"2017-01-22","Lesiones dolosas",NA,NA,"NO DISPONIBLE","San Juan de los Lagos",73,"5:30","La vida y la integridad corporal","Interior","MUN073"
"2017-01-10","Robo de motocicleta",NA,NA,"NO DISPONIBLE","Lagos de Moreno",53,"17:45","El patrimonio","Interior","MUN053"
"2017-01-30","Robo a vehículos particulares",NA,NA,"NO DISPONIBLE","Lagos de Moreno",53,"17:45","El patrimonio","Interior","MUN053"
"2017-01-25","Robo de autopartes",NA,NA,"NO DISPONIBLE","San Juan de los Lagos",73,"5:30","El patrimonio","Interior","MUN073"
"2017-01-18","Abuso sexual infantil",NA,NA,"NO DISPONIBLE","Encarnación de Díaz",35,"5:30","La libertad y la seguridad sexual","Interior","MUN035"
"2017-01-27","Lesiones dolosas",NA,NA,"NO DISPONIBLE","Ojuelos de Jalisco",64,"17:45","La vida y la integridad corporal","Interior","MUN064"
"2017-01-23","Robo de motocicleta",NA,NA,"NO DISPONIBLE","Lagos de Moreno",53,"17:45","El patrimonio","Interior","MUN053"
"2017-01-16","Robo a vehículos particulares",NA,NA,"NO DISPONIBLE","Lagos de Moreno",53,"17:45","El patrimonio","Interior","MUN053"
"2017-01-20","Robo de motocicleta",NA,NA,"NO DISPONIBLE","Lagos de Moreno",53,"17:45","El patrimonio","Interior","MUN053"
"2017-01-05","Robo a carga pesada",NA,NA,"NO DISPONIBLE","Lagos de Moreno",53,"5:30","El patrimonio","Interior","MUN053"
"2017-01-26","Robo de motocicleta",NA,NA,"NO DISPONIBLE","Lagos de Moreno",53,"5:30","El patrimonio","Interior","MUN053"
"2017-01-17","Robo a casa habitación",NA,NA,"NO DISPONIBLE","San Juan de los Lagos",73,"17:45","El patrimonio","Interior","MUN073"
"2017-01-06","Robo a vehículos particulares",NA,NA,"NO DISPONIBLE","San Juan de los Lagos",73,"17:45","El patrimonio","Interior","MUN073"
