"fecha","delito","x","y","colonia","municipio","clave_mun","hora","bien_afectado","zona_geografica"
"2017-01-06","Robo a vehículos particulares",NA,NA,"NO DISPONIBLE","Arandas",8,"5:30","El patrimonio","Interior"
"2017-01-31","Robo a int de vehículos",NA,NA,"NO DISPONIBLE","Tepatitlán de Morelos",93,"17:45","El patrimonio","Interior"
"2017-01-18","Robo a casa habitación",NA,NA,"NO DISPONIBLE","Jesús María",48,"5:30","El patrimonio","Interior"
"2017-01-02","Robo a int de vehículos",NA,NA,"NO DISPONIBLE","Tepatitlán de Morelos",93,"17:45","El patrimonio","Interior"
"2017-01-27","Robo a vehículos particulares",NA,NA,"NO DISPONIBLE","Tepatitlán de Morelos",93,"17:45","El patrimonio","Interior"
"2017-01-17","Robo a vehículos particulares",NA,NA,"NO DISPONIBLE","Valle de Guadalupe",111,"5:30","El patrimonio","Interior"
"2017-01-25","Robo a casa habitación",NA,NA,"NO DISPONIBLE","Tepatitlán de Morelos",93,"5:30","El patrimonio","Interior"
"2017-01-25","Robo a negocio",NA,NA,"NO DISPONIBLE","San Miguel el Alto",78,"17:45","El patrimonio","Interior"
"2017-01-25","Violencia familiar",NA,NA,"NO DISPONIBLE","Tepatitlán de Morelos",93,"5:30","La familia","Interior"
"2017-01-10","Robo a vehículos particulares",NA,NA,"NO DISPONIBLE","Yahualica de González Gallo",118,"5:30","El patrimonio","Interior"
"2017-01-30","Robo a casa habitación",NA,NA,"NO DISPONIBLE","Tepatitlán de Morelos",93,"17:45","El patrimonio","Interior"
"2017-01-04","Robo a vehículos particulares",NA,NA,"NO DISPONIBLE","Valle de Guadalupe",111,"5:30","El patrimonio","Interior"
"2017-01-25","Robo de motocicleta",NA,NA,"NO DISPONIBLE","Jesús María",48,"17:45","El patrimonio","Interior"
"2017-01-17","Lesiones dolosas",NA,NA,"NO DISPONIBLE","Yahualica de González Gallo",118,"17:45","La vida y la integridad corporal","Interior"
"2017-01-19","Robo de motocicleta",NA,NA,"NO DISPONIBLE","Tepatitlán de Morelos",93,"17:45","El patrimonio","Interior"
"2017-01-14","Lesiones dolosas",NA,NA,"NO DISPONIBLE","Tepatitlán de Morelos",93,"5:30","La vida y la integridad corporal","Interior"
"2017-01-27","Violencia familiar",NA,NA,"NO DISPONIBLE","Tepatitlán de Morelos",93,"17:45","La familia","Interior"
