"fecha","delito","x","y","colonia","municipio","clave_mun","hora","bien_afectado","zona_geografica"
"2017-01-13","Robo a vehículos particulares",NA,NA,"NO DISPONIBLE","Puerto Vallarta",67,"5:30","El patrimonio","Interior"
"2017-01-25","Lesiones dolosas",NA,NA,"NO DISPONIBLE","Cabo Corrientes",20,"5:30","La vida y la integridad corporal","Interior"
"2017-01-23","Violencia familiar",NA,NA,"NO DISPONIBLE","Puerto Vallarta",67,"5:30","La familia","Interior"
"2017-01-17","Robo a casa habitación",NA,NA,"NO DISPONIBLE","Puerto Vallarta",67,"17:45","El patrimonio","Interior"
"2017-01-22","Lesiones dolosas",NA,NA,"NO DISPONIBLE","Puerto Vallarta",67,"5:30","La vida y la integridad corporal","Interior"
"2017-01-27","Robo a casa habitación",NA,NA,"NO DISPONIBLE","Puerto Vallarta",67,"5:30","El patrimonio","Interior"
"2017-01-12","Robo a negocio",NA,NA,"NO DISPONIBLE","Talpa de Allende",84,"5:30","El patrimonio","Interior"
"2017-01-18","Robo a int de vehículos",NA,NA,"NO DISPONIBLE","Puerto Vallarta",67,"5:30","El patrimonio","Interior"
"2017-01-07","Robo a casa habitación",NA,NA,"NO DISPONIBLE","Puerto Vallarta",67,"5:30","El patrimonio","Interior"
"2017-01-17","Robo a vehículos particulares",NA,NA,"NO DISPONIBLE","Mascota",58,"5:30","El patrimonio","Interior"
"2017-01-31","Robo de motocicleta",NA,NA,"NO DISPONIBLE","Puerto Vallarta",67,"17:45","El patrimonio","Interior"
"2017-01-05","Violencia familiar",NA,NA,"NO DISPONIBLE","Atenguillo",12,"17:45","La familia","Interior"
"2017-01-23","Robo de motocicleta",NA,NA,"NO DISPONIBLE","Puerto Vallarta",67,"17:45","El patrimonio","Interior"
"2017-01-06","Robo a casa habitación",NA,NA,"NO DISPONIBLE","Puerto Vallarta",67,"17:45","El patrimonio","Interior"
"2017-01-16","Violencia familiar",NA,NA,"NO DISPONIBLE","Puerto Vallarta",67,"5:30","La familia","Interior"
"2017-01-26","Robo a persona",NA,NA,"NO DISPONIBLE","Puerto Vallarta",67,"5:30","El patrimonio","Interior"
"2017-01-15","Violencia familiar",NA,NA,"NO DISPONIBLE","Puerto Vallarta",67,"17:45","La familia","Interior"
"2017-01-10","Robo a vehículos particulares",NA,NA,"NO DISPONIBLE","Puerto Vallarta",67,"5:30","El patrimonio","Interior"
"2017-01-17","Violencia familiar",NA,NA,"NO DISPONIBLE","Puerto Vallarta",67,"17:45","La familia","Interior"
"2017-02-02","Lesiones dolosas",NA,NA,"NO DISPONIBLE","Atenguillo",12,"17:45","La vida y la integridad corporal","Interior"
"2017-02-15","Robo a int de vehículos",NA,NA,"NO DISPONIBLE","Puerto Vallarta",67,"17:45","El patrimonio","Interior"
"2017-02-21","Robo a vehículos particulares",NA,NA,"NO DISPONIBLE","Puerto Vallarta",67,"17:45","El patrimonio","Interior"
"2017-02-09","Robo a int de vehículos",NA,NA,"NO DISPONIBLE","Puerto Vallarta",67,"17:45","El patrimonio","Interior"
"2017-02-16","Robo a vehículos particulares",NA,NA,"NO DISPONIBLE","Puerto Vallarta",67,"5:30","El patrimonio","Interior"
"2017-02-09","Violencia familiar",NA,NA,"NO DISPONIBLE","Puerto Vallarta",67,"5:30","La familia","Interior"
"2017-02-27","Violencia familiar",NA,NA,"NO DISPONIBLE","Puerto Vallarta",67,"17:45","La familia","Interior"
"2017-03-27","Robo de motocicleta",NA,NA,"NO DISPONIBLE","Puerto Vallarta",67,"17:45","El patrimonio","Interior"
"2017-03-23","Robo a casa habitación",NA,NA,"NO DISPONIBLE","Puerto Vallarta",67,"17:45","El patrimonio","Interior"
"2017-03-06","Lesiones dolosas",NA,NA,"NO DISPONIBLE","Puerto Vallarta",67,"5:30","La vida y la integridad corporal","Interior"
"2017-03-02","Abuso sexual infantil",NA,NA,"NO DISPONIBLE","Puerto Vallarta",67,"17:45","La libertad y la seguridad sexual","Interior"
"2017-03-31","Abuso sexual infantil",NA,NA,"NO DISPONIBLE","Puerto Vallarta",67,"5:30","La libertad y la seguridad sexual","Interior"
"2017-03-24","Robo a casa habitación",NA,NA,"NO DISPONIBLE","Puerto Vallarta",67,"17:45","El patrimonio","Interior"
"2017-03-03","Violencia familiar",NA,NA,"NO DISPONIBLE","Puerto Vallarta",67,"5:30","La familia","Interior"
"2017-03-23","Robo a casa habitación",NA,NA,"NO DISPONIBLE","Puerto Vallarta",67,"5:30","El patrimonio","Interior"
"2017-03-17","Robo a int de vehículos",NA,NA,"NO DISPONIBLE","Puerto Vallarta",67,"17:45","El patrimonio","Interior"
"2017-03-09","Lesiones dolosas",NA,NA,"NO DISPONIBLE","Puerto Vallarta",67,"17:45","La vida y la integridad corporal","Interior"
"2017-03-02","Robo a casa habitación",NA,NA,"NO DISPONIBLE","Cabo Corrientes",20,"5:30","El patrimonio","Interior"
"2017-03-21","Robo a vehículos particulares",NA,NA,"NO DISPONIBLE","Mascota",58,"5:30","El patrimonio","Interior"
"2017-03-10","Robo a int de vehículos",NA,NA,"NO DISPONIBLE","Puerto Vallarta",67,"17:45","El patrimonio","Interior"
"2017-03-07","Robo a casa habitación",NA,NA,"NO DISPONIBLE","Puerto Vallarta",67,"5:30","El patrimonio","Interior"
"2017-03-01","Violencia familiar",NA,NA,"NO DISPONIBLE","Puerto Vallarta",67,"17:45","La familia","Interior"
"2017-03-20","Robo a negocio",NA,NA,"NO DISPONIBLE","Puerto Vallarta",67,"17:45","El patrimonio","Interior"
"2017-03-23","Lesiones dolosas",NA,NA,"NO DISPONIBLE","Puerto Vallarta",67,"5:30","La vida y la integridad corporal","Interior"
"2017-03-07","Lesiones dolosas",NA,NA,"NO DISPONIBLE","Puerto Vallarta",67,"17:45","La vida y la integridad corporal","Interior"
"2017-03-31","Robo a casa habitación",NA,NA,"NO DISPONIBLE","Puerto Vallarta",67,"5:30","El patrimonio","Interior"
"2017-03-27","Robo a vehículos particulares",NA,NA,"NO DISPONIBLE","Puerto Vallarta",67,"5:30","El patrimonio","Interior"
"2017-03-02","Robo a casa habitación",NA,NA,"NO DISPONIBLE","Cabo Corrientes",20,"5:30","El patrimonio","Interior"
"2017-03-27","Robo a casa habitación",NA,NA,"NO DISPONIBLE","Puerto Vallarta",67,"17:45","El patrimonio","Interior"
