"fecha","delito","x","y","colonia","municipio","clave_mun","hora","bien_afectado","zona_geografica"
"2017-01-25","Violencia familiar",NA,NA,"NO DISPONIBLE","Tomatlán",100,"5:30","La familia","Interior"
"2017-01-31","Robo a vehículos particulares",NA,NA,"NO DISPONIBLE","Cihuatlán",22,"17:45","El patrimonio","Interior"
"2017-01-19","Robo a vehículos particulares",NA,NA,"NO DISPONIBLE","La Huerta",43,"5:30","El patrimonio","Interior"
"2017-01-28","Robo a negocio",NA,NA,"NO DISPONIBLE","Tomatlán",100,"5:30","El patrimonio","Interior"
"2017-02-20","Lesiones dolosas",NA,NA,"NO DISPONIBLE","Cihuatlán",22,"17:45","La vida y la integridad corporal","Interior"
"2017-03-26","Lesiones dolosas",NA,NA,"NO DISPONIBLE","Cihuatlán",22,"17:45","La vida y la integridad corporal","Interior"
"2017-03-07","Violencia familiar",NA,NA,"NO DISPONIBLE","Tomatlán",100,"17:45","La familia","Interior"
"2017-03-10","Lesiones dolosas",NA,NA,"NO DISPONIBLE","Cuautitlán de García Barragán",27,"17:45","La vida y la integridad corporal","Interior"
"2017-03-16","Lesiones dolosas",NA,NA,"NO DISPONIBLE","Cihuatlán",22,"5:30","La vida y la integridad corporal","Interior"
"2017-03-15","Violencia familiar",NA,NA,"NO DISPONIBLE","La Huerta",43,"5:30","La familia","Interior"
"2017-03-10","Robo a persona",NA,NA,"NO DISPONIBLE","Tomatlán",100,"17:45","El patrimonio","Interior"
"2017-03-21","Lesiones dolosas",NA,NA,"NO DISPONIBLE","Cihuatlán",22,"5:30","La vida y la integridad corporal","Interior"
"2017-03-11","Violencia familiar",NA,NA,"NO DISPONIBLE","Tomatlán",100,"5:30","La familia","Interior"
"2017-04-03","Abuso sexual infantil",NA,NA,"NO DISPONIBLE","Cihuatlán",22,"17:45","La libertad y la seguridad sexual","Interior"
"2017-04-03","Robo a negocio",NA,NA,"NO DISPONIBLE","Cihuatlán",22,"17:45","El patrimonio","Interior"
"2017-04-03","Robo a vehículos particulares",NA,NA,"NO DISPONIBLE","Cihuatlán",22,"17:45","El patrimonio","Interior"
"2017-04-24","Abuso sexual infantil",NA,NA,"NO DISPONIBLE","Cuautitlán de García Barragán",27,"5:30","La libertad y la seguridad sexual","Interior"
"2017-05-30","Robo a casa habitación",NA,NA,"NO DISPONIBLE","Cihuatlán",22,"17:45","El patrimonio","Interior"
"2017-05-15","Lesiones dolosas",NA,NA,"NO DISPONIBLE","Cihuatlán",22,"5:30","La vida y la integridad corporal","Interior"
"2017-05-04","Lesiones dolosas",NA,NA,"NO DISPONIBLE","Casimiro Castillo",21,"5:30","La vida y la integridad corporal","Interior"
"2017-05-05","Violación",NA,NA,"NO DISPONIBLE","La Huerta",43,"17:45","La libertad y la seguridad sexual","Interior"
"2017-05-06","Abuso sexual infantil",NA,NA,"NO DISPONIBLE","Cihuatlán",22,"17:45","La libertad y la seguridad sexual","Interior"
"2017-05-24","Robo a persona",NA,NA,"NO DISPONIBLE","Tomatlán",100,"17:45","El patrimonio","Interior"
"2017-06-15","Lesiones dolosas",NA,NA,"NO DISPONIBLE","Villa Purificación",68,"5:30","La vida y la integridad corporal","Interior"
"2017-06-05","Lesiones dolosas",NA,NA,"NO DISPONIBLE","Cuautitlán de García Barragán",27,"5:30","La vida y la integridad corporal","Interior"
"2017-06-14","Lesiones dolosas",NA,NA,"NO DISPONIBLE","Cihuatlán",22,"17:45","La vida y la integridad corporal","Interior"
"2017-06-22","Homicidio doloso",NA,NA,"NO DISPONIBLE","Cihuatlán",22,"17:45","La vida y la integridad corporal","Interior"
"2017-06-09","Homicidio doloso",NA,NA,"NO DISPONIBLE","Tomatlán",100,"17:45","La vida y la integridad corporal","Interior"
"2017-06-22","Violencia familiar",NA,NA,"NO DISPONIBLE","Cihuatlán",22,"5:30","La familia","Interior"
"2017-07-10","Lesiones dolosas",NA,NA,"NO DISPONIBLE","Casimiro Castillo",21,"5:30","La vida y la integridad corporal","Interior"
"2017-07-24","Violencia familiar",NA,NA,"NO DISPONIBLE","Villa Purificación",68,"17:45","La familia","Interior"
"2017-07-31","Robo a casa habitación",NA,NA,"NO DISPONIBLE","Cihuatlán",22,"17:45","El patrimonio","Interior"
"2017-07-08","Robo a casa habitación",NA,NA,"NO DISPONIBLE","Cihuatlán",22,"5:30","El patrimonio","Interior"
"2017-07-24","Lesiones dolosas",NA,NA,"NO DISPONIBLE","Casimiro Castillo",21,"17:45","La vida y la integridad corporal","Interior"
"2017-07-07","Robo a vehículos particulares",NA,NA,"NO DISPONIBLE","Casimiro Castillo",21,"17:45","El patrimonio","Interior"
"2017-08-09","Lesiones dolosas",NA,NA,"NO DISPONIBLE","Cihuatlán",22,"17:45","La vida y la integridad corporal","Interior"
"2017-08-21","Lesiones dolosas",NA,NA,"NO DISPONIBLE","Cihuatlán",22,"5:30","La vida y la integridad corporal","Interior"
"2017-08-25","Lesiones dolosas",NA,NA,"NO DISPONIBLE","La Huerta",43,"5:30","La vida y la integridad corporal","Interior"
"2017-08-29","Violencia familiar",NA,NA,"NO DISPONIBLE","Cihuatlán",22,"5:30","La familia","Interior"
"2017-09-18","Robo a negocio",NA,NA,"NO DISPONIBLE","Tomatlán",100,"5:30","El patrimonio","Interior"
"2017-09-04","Lesiones dolosas",NA,NA,"NO DISPONIBLE","Tomatlán",100,"5:30","La vida y la integridad corporal","Interior"
"2017-09-15","Robo a casa habitación",NA,NA,"NO DISPONIBLE","La Huerta",43,"5:30","El patrimonio","Interior"
"2017-10-17","Abuso sexual infantil",NA,NA,"NO DISPONIBLE","Villa Purificación",68,"5:30","La libertad y la seguridad sexual","Interior"
"2017-10-10","Lesiones dolosas",NA,NA,"NO DISPONIBLE","Villa Purificación",68,"5:30","La vida y la integridad corporal","Interior"
"2017-10-20","Lesiones dolosas",NA,NA,"NO DISPONIBLE","Cihuatlán",22,"5:30","La vida y la integridad corporal","Interior"
"2017-11-23","Lesiones dolosas",NA,NA,"NO DISPONIBLE","Cihuatlán",22,"17:45","La vida y la integridad corporal","Interior"
"2017-11-29","Lesiones dolosas",NA,NA,"NO DISPONIBLE","Tomatlán",100,"17:45","La vida y la integridad corporal","Interior"
"2017-11-01","Lesiones dolosas",NA,NA,"NO DISPONIBLE","Cihuatlán",22,"17:45","La vida y la integridad corporal","Interior"
"2017-11-22","Lesiones dolosas",NA,NA,"NO DISPONIBLE","Cuautitlán de García Barragán",27,"5:30","La vida y la integridad corporal","Interior"
"2017-11-28","Robo a casa habitación",NA,NA,"NO DISPONIBLE","Cihuatlán",22,"17:45","El patrimonio","Interior"
"2017-12-26","Lesiones dolosas",NA,NA,"NO DISPONIBLE","Cihuatlán",22,"5:30","La vida y la integridad corporal","Interior"
"2017-12-24","Homicidio doloso",NA,NA,"NO DISPONIBLE","La Huerta",43,"5:30","La vida y la integridad corporal","Interior"
"2017-12-20","Lesiones dolosas",NA,NA,"NO DISPONIBLE","Cihuatlán",22,"17:45","La vida y la integridad corporal","Interior"
"2017-12-24","Homicidio doloso",NA,NA,"NO DISPONIBLE","La Huerta",43,"17:45","La vida y la integridad corporal","Interior"
"2017-12-18","Lesiones dolosas",NA,NA,"NO DISPONIBLE","Cihuatlán",22,"17:45","La vida y la integridad corporal","Interior"
"2017-12-07","Homicidio doloso",NA,NA,"NO DISPONIBLE","Cihuatlán",22,"5:30","La vida y la integridad corporal","Interior"
"2017-12-22","Robo de motocicleta",NA,NA,"NO DISPONIBLE","Villa Purificación",68,"17:45","El patrimonio","Interior"
"2017-01-05","Lesiones dolosas",-105.334846,19.873972,"LA CUMBRE","Tomatlán",100,"5:30","La vida y la integridad corporal","Interior"
"2017-01-31","Lesiones dolosas",-104.454659,19.614966,"CAMINO REAL","Casimiro Castillo",21,"5:30","La vida y la integridad corporal","Interior"
"2017-01-18","Robo a vehículos particulares",-104.563605,19.494007,"LA CONCEPCION","La Huerta",43,"5:30","El patrimonio","Interior"
"2017-01-30","Violencia familiar",-104.64519,19.489048,"PLAN DE AYALA","La Huerta",43,"17:45","La familia","Interior"
"2017-01-05","Lesiones dolosas",-105.076557,20.07164,"NO DISPONIBLE","Tomatlán",100,"5:30","La vida y la integridad corporal","Interior"
"2017-01-20","Lesiones dolosas",-104.874588,19.79195,"NO DISPONIBLE","Villa Purificación",68,"17:45","La vida y la integridad corporal","Interior"
"2017-01-04","Lesiones dolosas",-104.819286,19.305946,"NO DISPONIBLE","La Huerta",43,"17:45","La vida y la integridad corporal","Interior"
