"fecha","delito","x","y","colonia","municipio","clave_mun","hora","bien_afectado","zona_geografica","ID_municipio_unico"
"2017-01-12","Robo a casa habitación",NA,NA,"NO DISPONIBLE","San Martín Hidalgo",77,"17:45","El patrimonio","Interior","ENT14MUN077"
"2017-01-20","Lesiones dolosas",NA,NA,"NO DISPONIBLE","Tapalpa",86,"5:30","La vida y la integridad corporal","Interior","ENT14MUN086"
"2017-01-19","Robo a vehículos particulares",NA,NA,"NO DISPONIBLE","San Martín Hidalgo",77,"5:30","El patrimonio","Interior","ENT14MUN077"
"2017-01-13","Lesiones dolosas",NA,NA,"NO DISPONIBLE","San Martín Hidalgo",77,"5:30","La vida y la integridad corporal","Interior","ENT14MUN077"
"2017-01-23","Violencia familiar",NA,NA,"NO DISPONIBLE","San Martín Hidalgo",77,"17:45","La familia","Interior","ENT14MUN077"
"2017-01-23","Robo a vehículos particulares",NA,NA,"NO DISPONIBLE","San Martín Hidalgo",77,"17:45","El patrimonio","Interior","ENT14MUN077"
"2017-01-02","Robo a persona",NA,NA,"NO DISPONIBLE","Zacoalco de Torres",119,"17:45","El patrimonio","Interior","ENT14MUN119"
"2017-01-08","Robo a casa habitación",NA,NA,"NO DISPONIBLE","Zacoalco de Torres",119,"5:30","El patrimonio","Interior","ENT14MUN119"
"2017-01-13","Robo a vehículos particulares",NA,NA,"NO DISPONIBLE","Cocula",24,"17:45","El patrimonio","Interior","ENT14MUN024"
"2017-01-26","Robo de motocicleta",NA,NA,"NO DISPONIBLE","San Martín Hidalgo",77,"5:30","El patrimonio","Interior","ENT14MUN077"
"2017-01-09","Lesiones dolosas",NA,NA,"NO DISPONIBLE","San Martín Hidalgo",77,"5:30","La vida y la integridad corporal","Interior","ENT14MUN077"
"2017-01-03","Violencia familiar",NA,NA,"NO DISPONIBLE","San Martín Hidalgo",77,"17:45","La familia","Interior","ENT14MUN077"
"2017-02-17","Lesiones dolosas",NA,NA,"NO DISPONIBLE","San Martín Hidalgo",77,"17:45","La vida y la integridad corporal","Interior","ENT14MUN077"
"2017-02-22","Robo a negocio",NA,NA,"NO DISPONIBLE","Zacoalco de Torres",119,"17:45","El patrimonio","Interior","ENT14MUN119"
"2017-02-13","Robo a persona",NA,NA,"NO DISPONIBLE","Sayula",82,"5:30","El patrimonio","Interior","ENT14MUN082"
"2017-02-13","Robo a casa habitación",NA,NA,"NO DISPONIBLE","Cocula",24,"17:45","El patrimonio","Interior","ENT14MUN024"
"2017-02-03","Lesiones dolosas",NA,NA,"NO DISPONIBLE","Acatlán de Juárez",2,"5:30","La vida y la integridad corporal","Interior","ENT14MUN002"
"2017-02-02","Robo a carga pesada",NA,NA,"NO DISPONIBLE","Cocula",24,"5:30","El patrimonio","Interior","ENT14MUN024"
"2017-02-02","Robo a negocio",NA,NA,"NO DISPONIBLE","Acatlán de Juárez",2,"17:45","El patrimonio","Interior","ENT14MUN002"
"2017-03-23","Robo a vehículos particulares",NA,NA,"NO DISPONIBLE","Acatlán de Juárez",2,"5:30","El patrimonio","Interior","ENT14MUN002"
"2017-03-16","Homicidio doloso",NA,NA,"NO DISPONIBLE","Zacoalco de Torres",119,"17:45","La vida y la integridad corporal","Interior","ENT14MUN119"
"2017-03-14","Robo a casa habitación",NA,NA,"NO DISPONIBLE","Villa Corona",114,"5:30","El patrimonio","Interior","ENT14MUN114"
"2017-03-30","Lesiones dolosas",NA,NA,"NO DISPONIBLE","Sayula",82,"17:45","La vida y la integridad corporal","Interior","ENT14MUN082"
"2017-03-14","Robo a vehículos particulares",NA,NA,"NO DISPONIBLE","San Martín Hidalgo",77,"17:45","El patrimonio","Interior","ENT14MUN077"
"2017-03-17","Robo a vehículos particulares",NA,NA,"NO DISPONIBLE","Atemajac de Brizuela",10,"17:45","El patrimonio","Interior","ENT14MUN010"
"2017-03-23","Robo a vehículos particulares",NA,NA,"NO DISPONIBLE","Cocula",24,"5:30","El patrimonio","Interior","ENT14MUN024"
"2017-03-03","Lesiones dolosas",NA,NA,"NO DISPONIBLE","Sayula",82,"17:45","La vida y la integridad corporal","Interior","ENT14MUN082"
"2017-03-27","Abuso sexual infantil",NA,NA,"NO DISPONIBLE","San Martín Hidalgo",77,"17:45","La libertad y la seguridad sexual","Interior","ENT14MUN077"
"2017-03-03","Robo a vehículos particulares",NA,NA,"NO DISPONIBLE","Cocula",24,"17:45","El patrimonio","Interior","ENT14MUN024"
"2017-03-30","Robo a carga pesada",NA,NA,"NO DISPONIBLE","Sayula",82,"5:30","El patrimonio","Interior","ENT14MUN082"
"2017-03-16","Robo de motocicleta",NA,NA,"NO DISPONIBLE","Villa Corona",114,"17:45","El patrimonio","Interior","ENT14MUN114"
"2017-03-21","Robo a casa habitación",NA,NA,"NO DISPONIBLE","Villa Corona",114,"5:30","El patrimonio","Interior","ENT14MUN114"
"2017-04-12","Robo a casa habitación",NA,NA,"NO DISPONIBLE","Villa Corona",114,"5:30","El patrimonio","Interior","ENT14MUN114"
"2017-04-12","Violencia familiar",NA,NA,"NO DISPONIBLE","Zacoalco de Torres",119,"17:45","La familia","Interior","ENT14MUN119"
"2017-04-11","Robo a casa habitación",NA,NA,"NO DISPONIBLE","Acatlán de Juárez",2,"5:30","El patrimonio","Interior","ENT14MUN002"
"2017-04-01","Lesiones dolosas",NA,NA,"NO DISPONIBLE","Zacoalco de Torres",119,"17:45","La vida y la integridad corporal","Interior","ENT14MUN119"
"2017-04-06","Lesiones dolosas",NA,NA,"NO DISPONIBLE","Sayula",82,"5:30","La vida y la integridad corporal","Interior","ENT14MUN082"
"2017-04-11","Homicidio doloso",NA,NA,"NO DISPONIBLE","Villa Corona",114,"5:30","La vida y la integridad corporal","Interior","ENT14MUN114"
"2017-04-19","Robo a vehículos particulares",NA,NA,"NO DISPONIBLE","San Martín Hidalgo",77,"17:45","El patrimonio","Interior","ENT14MUN077"
"2017-05-10","Lesiones dolosas",NA,NA,"NO DISPONIBLE","Villa Corona",114,"5:30","La vida y la integridad corporal","Interior","ENT14MUN114"
"2017-05-02","Robo a negocio",NA,NA,"NO DISPONIBLE","Atemajac de Brizuela",10,"5:30","El patrimonio","Interior","ENT14MUN010"
"2017-05-09","Violencia familiar",NA,NA,"NO DISPONIBLE","Cocula",24,"17:45","La familia","Interior","ENT14MUN024"
"2017-05-18","Violencia familiar",NA,NA,"NO DISPONIBLE","Zacoalco de Torres",119,"17:45","La familia","Interior","ENT14MUN119"
"2017-05-08","Robo a vehículos particulares",NA,NA,"NO DISPONIBLE","Villa Corona",114,"17:45","El patrimonio","Interior","ENT14MUN114"
"2017-05-25","Lesiones dolosas",NA,NA,"NO DISPONIBLE","Atoyac",14,"17:45","La vida y la integridad corporal","Interior","ENT14MUN014"
"2017-05-02","Lesiones dolosas",NA,NA,"NO DISPONIBLE","Tapalpa",86,"17:45","La vida y la integridad corporal","Interior","ENT14MUN086"
"2017-05-10","Lesiones dolosas",NA,NA,"NO DISPONIBLE","Villa Corona",114,"17:45","La vida y la integridad corporal","Interior","ENT14MUN114"
"2017-05-03","Lesiones dolosas",NA,NA,"NO DISPONIBLE","Cocula",24,"17:45","La vida y la integridad corporal","Interior","ENT14MUN024"
