"fecha","delito","x","y","colonia","municipio","clave_mun","hora","bien_afectado","zona_geografica"
"2017-01-06","Lesiones dolosas",NA,NA,"NO DISPONIBLE","Bolaños",19,"17:45","La vida y la integridad corporal","Interior"
"2017-01-18","Lesiones dolosas",NA,NA,"NO DISPONIBLE","Totatiche",104,"05:30","La vida y la integridad corporal","Interior"
"2017-01-24","Robo a vehículos particulares",NA,NA,"NO DISPONIBLE","San Martín de Bolaños",76,"05:30","El patrimonio","Interior"
"2017-02-28","Robo a negocio",NA,NA,"NO DISPONIBLE","San Martín de Bolaños",76,"05:30","El patrimonio","Interior"
"2017-02-22","Lesiones dolosas",NA,NA,"NO DISPONIBLE","Mezquitic",61,"17:45","La vida y la integridad corporal","Interior"
"2017-02-13","Abuso sexual infantil",NA,NA,"NO DISPONIBLE","Huejuquilla el Alto",42,"05:30","La libertad y la seguridad sexual","Interior"
"2017-02-07","Violación",NA,NA,"NO DISPONIBLE","Colotlán",25,"17:45","La libertad y la seguridad sexual","Interior"
"2017-03-29","Lesiones dolosas",NA,NA,"NO DISPONIBLE","Villa Guerrero",115,"17:45","La vida y la integridad corporal","Interior"
"2017-03-24","Abuso sexual infantil",NA,NA,"NO DISPONIBLE","Mezquitic",61,"17:45","La libertad y la seguridad sexual","Interior"
"2017-03-21","Violencia familiar",NA,NA,"NO DISPONIBLE","Totatiche",104,"17:45","La familia","Interior"
"2017-03-13","Violencia familiar",NA,NA,"NO DISPONIBLE","Huejucar",41,"05:30","La familia","Interior"
"2017-03-27","Lesiones dolosas",NA,NA,"NO DISPONIBLE","Huejuquilla el Alto",42,"05:30","La vida y la integridad corporal","Interior"
"2017-03-22","Violencia familiar",NA,NA,"NO DISPONIBLE","Colotlán",25,"05:30","La familia","Interior"
"2017-03-29","Robo a negocio",NA,NA,"NO DISPONIBLE","Totatiche",104,"17:45","El patrimonio","Interior"
"2017-03-10","Abuso sexual infantil",NA,NA,"NO DISPONIBLE","Mezquitic",61,"05:30","La libertad y la seguridad sexual","Interior"
