fecha,delito,x,y,colonia,municipio,clave_mun,hora,bien_afectado,zona_geografica
15/10/2019,Abuso sexual infantil,-104.0966166,20.08960365,CENTRO,Juchitlán,52,N.D.,La libertad y la seguridad sexual,Interior
02/01/2019,Abuso sexual infantil,-104.0957044,20.12612794,NO DISPONIBLE,Juchitlán,52,N.D.,La libertad y la seguridad sexual,Interior
10/01/2019,Abuso sexual infantil,-104.3523369,19.79478331,MARCELINO GARCIA BARRAGAN (AZUCARERA),Autlán de Navarro,15,N.D.,La libertad y la seguridad sexual,Interior
10/01/2019,Abuso sexual infantil,-104.2166232,19.79884057,DEL SUR,El Grullo,37,N.D.,La libertad y la seguridad sexual,Interior
05/02/2019,Abuso sexual infantil,-104.2054155,19.80552767,ORIENTE SEGUNDA SECCION,El Grullo,37,N.D.,La libertad y la seguridad sexual,Interior
06/02/2019,Abuso sexual infantil,-104.3729452,19.76732645,CENTRO,Autlán de Navarro,15,N.D.,La libertad y la seguridad sexual,Interior
06/02/2019,Abuso sexual infantil,-104.3848432,19.75998399,NO DISPONIBLE,Autlán de Navarro,15,N.D.,La libertad y la seguridad sexual,Interior
08/02/2019,Abuso sexual infantil,-104.3649523,19.77131898,CENTRO,Autlán de Navarro,15,N.D.,La libertad y la seguridad sexual,Interior
12/02/2019,Abuso sexual infantil,-104.3446027,20.12906799,CENTRO,Ayutla,17,N.D.,La libertad y la seguridad sexual,Interior
12/02/2019,Abuso sexual infantil,-104.217451,19.81053434,EL CERRITO,El Grullo,37,N.D.,La libertad y la seguridad sexual,Interior
20/02/2019,Abuso sexual infantil,-104.0496013,20.20973655,LA LOMA (UNIDAD DEPORTIVA),Tecolotlán,88,N.D.,La libertad y la seguridad sexual,Interior
01/03/2019,Abuso sexual infantil,-104.2141348,19.80422443,CENTRO,El Grullo,37,N.D.,La libertad y la seguridad sexual,Interior
06/03/2019,Abuso sexual infantil,-104.2076551,19.80450682,ORIENTE SEGUNDA SECCION,El Grullo,37,N.D.,La libertad y la seguridad sexual,Interior
25/03/2019,Abuso sexual infantil,-104.2174563,19.81428701,CHARCO DE LOS ADOBES,El Grullo,37,N.D.,La libertad y la seguridad sexual,Interior
08/04/2019,Abuso sexual infantil,-104.3674408,19.75938971,EJIDAL,Autlán de Navarro,15,N.D.,La libertad y la seguridad sexual,Interior
08/04/2019,Abuso sexual infantil,-104.3691053,19.78429304,EL TECOLOTE,Autlán de Navarro,15,N.D.,La libertad y la seguridad sexual,Interior
23/04/2019,Abuso sexual infantil,-104.3710769,19.76459599,CENTRO,Autlán de Navarro,15,N.D.,La libertad y la seguridad sexual,Interior
08/05/2019,Abuso sexual infantil,-104.164502,19.90682685,EJUTLA,Ejutla,34,N.D.,La libertad y la seguridad sexual,Interior
30/05/2019,Abuso sexual infantil,-104.3672525,19.78377828,ARQUITOS,Autlán de Navarro,15,N.D.,La libertad y la seguridad sexual,Interior
17/06/2019,Abuso sexual infantil,-104.2169732,19.80492298,CENTRO,El Grullo,37,N.D.,La libertad y la seguridad sexual,Interior
08/07/2019,Abuso sexual infantil,-104.3255726,19.67490118,NO DISPONIBLE,Autlán de Navarro,15,N.D.,La libertad y la seguridad sexual,Interior
11/07/2019,Abuso sexual infantil,-104.2160381,19.80955067,EL CERRITO,El Grullo,37,N.D.,La libertad y la seguridad sexual,Interior
17/07/2019,Abuso sexual infantil,-104.3534586,20.1260223,AZTECA,Ayutla,17,N.D.,La libertad y la seguridad sexual,Interior
