"fecha","delito","x","y","colonia","municipio","clave_mun","hora","bien_afectado","zona_geografica","ID_municipio_unico"
"2017-01-26","Robo casa habitación",NA,NA,"NO DISPONIBLE","Jocotepec",50,"17:45","El patrimonio","Interior","MUN050"
"2017-01-23","Robo a carga pesada",NA,NA,"NO DISPONIBLE","Jocotepec",50,"5:30","El patrimonio","Interior","MUN050"
"2017-01-18","Robo casa habitación",NA,NA,"NO DISPONIBLE","Chapala",30,"5:30","El patrimonio","Interior","MUN030"
"2017-01-18","Robo casa habitación",NA,NA,"NO DISPONIBLE","Chapala",30,"17:45","El patrimonio","Interior","MUN030"
"2017-01-30","Robo a vehículos particulares",NA,NA,"NO DISPONIBLE","Chapala",30,"17:45","El patrimonio","Interior","MUN030"
"2017-01-23","Robo a carga pesada",NA,NA,"NO DISPONIBLE","Jocotepec",50,"17:45","El patrimonio","Interior","MUN050"
"2017-01-10","Lesiones dolosas",NA,NA,"NO DISPONIBLE","Chapala",30,"5:30","La vida y la integridad corporal","Interior","MUN030"
"2017-01-04","Violencia familiar",NA,NA,"NO DISPONIBLE","Chapala",30,"17:45","La familia","Interior","MUN030"
"2017-02-14","Robo a persona",NA,NA,"NO DISPONIBLE","Chapala",30,"5:30","El patrimonio","Interior","MUN030"
"2017-02-21","Lesiones dolosas",NA,NA,"NO DISPONIBLE","Mazamitla",59,"5:30","La vida y la integridad corporal","Interior","MUN059"
"2017-02-25","Lesiones dolosas",NA,NA,"NO DISPONIBLE","Valle de Juárez",112,"5:30","La vida y la integridad corporal","Interior","MUN112"
"2017-02-22","Lesiones dolosas",NA,NA,"NO DISPONIBLE","Chapala",30,"17:45","La vida y la integridad corporal","Interior","MUN030"
"2017-02-03","Robo a persona",NA,NA,"NO DISPONIBLE","Chapala",30,"17:45","El patrimonio","Interior","MUN030"
"2017-03-03","Robo a vehículos particulares",NA,NA,"NO DISPONIBLE","Jocotepec",50,"17:45","El patrimonio","Interior","MUN050"
"2017-03-18","Robo casa habitación",NA,NA,"NO DISPONIBLE","Chapala",30,"5:30","El patrimonio","Interior","MUN030"
"2017-03-26","Violación",NA,NA,"NO DISPONIBLE","Jocotepec",50,"5:30","La libertad y la seguridad sexual","Interior","MUN050"
"2017-03-14","Robo casa habitación",NA,NA,"NO DISPONIBLE","Valle de Juárez",112,"17:45","El patrimonio","Interior","MUN112"
"2017-03-18","Violencia familiar",NA,NA,"NO DISPONIBLE","Chapala",30,"5:30","La familia","Interior","MUN030"
"2017-03-30","Robo a negocio",NA,NA,"NO DISPONIBLE","Chapala",30,"5:30","El patrimonio","Interior","MUN030"
"2017-03-01","Robo a vehículos particulares",NA,NA,"NO DISPONIBLE","Chapala",30,"5:30","El patrimonio","Interior","MUN030"
"2017-03-15","Violencia familiar",NA,NA,"NO DISPONIBLE","Chapala",30,"5:30","La familia","Interior","MUN030"
"2017-03-14","Robo casa habitación",NA,NA,"NO DISPONIBLE","Chapala",30,"17:45","El patrimonio","Interior","MUN030"
"2017-03-01","Robo casa habitación",NA,NA,"NO DISPONIBLE","Chapala",30,"17:45","El patrimonio","Interior","MUN030"
"2017-03-05","Violencia familiar",NA,NA,"NO DISPONIBLE","Chapala",30,"17:45","La familia","Interior","MUN030"
"2017-03-27","Robo casa habitación",NA,NA,"NO DISPONIBLE","Mazamitla",59,"17:45","El patrimonio","Interior","MUN059"
"2017-03-27","Robo casa habitación",NA,NA,"NO DISPONIBLE","Mazamitla",59,"5:30","El patrimonio","Interior","MUN059"
"2017-03-02","Lesiones dolosas",NA,NA,"NO DISPONIBLE","Mazamitla",59,"17:45","La vida y la integridad corporal","Interior","MUN059"
