fecha,delito,x,y,colonia,municipio,clave_mun,hora,bien_afectado,zona_geografica,ID_municipio_unico
06/01/2017,Lesiones dolosas,NA,NA,NO DISPONIBLE,Bolaños,19,17:45,La vida y la integridad corporal,Interior,ENT14MUN019
18/01/2017,Lesiones dolosas,NA,NA,NO DISPONIBLE,Totatiche,104,05:30,La vida y la integridad corporal,Interior,ENT14MUN104
24/01/2017,Robo a vehículos particulares,NA,NA,NO DISPONIBLE,San Martín de Bolaños,76,05:30,El patrimonio,Interior,ENT14MUN076
28/02/2017,Robo a negocio,NA,NA,NO DISPONIBLE,San Martín de Bolaños,76,05:30,El patrimonio,Interior,ENT14MUN076
22/02/2017,Lesiones dolosas,NA,NA,NO DISPONIBLE,Mezquitic,61,17:45,La vida y la integridad corporal,Interior,ENT14MUN061
13/02/2017,Abuso sexual infantil,NA,NA,NO DISPONIBLE,Huejuquilla el Alto,42,05:30,La libertad y la seguridad sexual,Interior,ENT14MUN042
07/02/2017,Violación,NA,NA,NO DISPONIBLE,Colotlán,25,17:45,La libertad y la seguridad sexual,Interior,ENT14MUN025
29/03/2017,Lesiones dolosas,NA,NA,NO DISPONIBLE,Villa Guerrero,115,17:45,La vida y la integridad corporal,Interior,ENT14MUN115
24/03/2017,Abuso sexual infantil,NA,NA,NO DISPONIBLE,Mezquitic,61,17:45,La libertad y la seguridad sexual,Interior,ENT14MUN061
21/03/2017,Violencia familiar,NA,NA,NO DISPONIBLE,Totatiche,104,17:45,La familia,Interior,ENT14MUN104
13/03/2017,Violencia familiar,NA,NA,NO DISPONIBLE,Huejucar,41,05:30,La familia,Interior,ENT14MUN041
27/03/2017,Lesiones dolosas,NA,NA,NO DISPONIBLE,Huejuquilla el Alto,42,05:30,La vida y la integridad corporal,Interior,ENT14MUN042
22/03/2017,Violencia familiar,NA,NA,NO DISPONIBLE,Colotlán,25,05:30,La familia,Interior,ENT14MUN025
29/03/2017,Robo a negocio,NA,NA,NO DISPONIBLE,Totatiche,104,17:45,El patrimonio,Interior,ENT14MUN104
10/03/2017,Abuso sexual infantil,NA,NA,NO DISPONIBLE,Mezquitic,61,05:30,La libertad y la seguridad sexual,Interior,ENT14MUN061
07/04/2017,Lesiones dolosas,NA,NA,NO DISPONIBLE,Mezquitic,61,05:30,La vida y la integridad corporal,Interior,ENT14MUN061
