fecha,delito,x,y,colonia,municipio,clave_mun,hora,bien_afectado,zona_geografica,ID_municipio_unico
12/01/2017,Robo a casa habitación,NA,NA,NO DISPONIBLE,San Martín Hidalgo,77,17:45,El patrimonio,Interior,ENT14MUN077
20/01/2017,Lesiones dolosas,NA,NA,NO DISPONIBLE,Tapalpa,86,05:30,La vida y la integridad corporal,Interior,ENT14MUN086
19/01/2017,Robo a vehículos particulares,NA,NA,NO DISPONIBLE,San Martín Hidalgo,77,05:30,El patrimonio,Interior,ENT14MUN077
13/01/2017,Lesiones dolosas,NA,NA,NO DISPONIBLE,San Martín Hidalgo,77,05:30,La vida y la integridad corporal,Interior,ENT14MUN077
23/01/2017,Violencia familiar,NA,NA,NO DISPONIBLE,San Martín Hidalgo,77,17:45,La familia,Interior,ENT14MUN077
23/01/2017,Robo a vehículos particulares,NA,NA,NO DISPONIBLE,San Martín Hidalgo,77,17:45,El patrimonio,Interior,ENT14MUN077
02/01/2017,Robo a persona,NA,NA,NO DISPONIBLE,Zacoalco de Torres,119,17:45,El patrimonio,Interior,ENT14MUN119
08/01/2017,Robo a casa habitación,NA,NA,NO DISPONIBLE,Zacoalco de Torres,119,05:30,El patrimonio,Interior,ENT14MUN119
13/01/2017,Robo a vehículos particulares,NA,NA,NO DISPONIBLE,Cocula,24,17:45,El patrimonio,Interior,ENT14MUN024
26/01/2017,Robo de motocicleta,NA,NA,NO DISPONIBLE,San Martín Hidalgo,77,05:30,El patrimonio,Interior,ENT14MUN077
09/01/2017,Lesiones dolosas,NA,NA,NO DISPONIBLE,San Martín Hidalgo,77,05:30,La vida y la integridad corporal,Interior,ENT14MUN077
03/01/2017,Violencia familiar,NA,NA,NO DISPONIBLE,San Martín Hidalgo,77,17:45,La familia,Interior,ENT14MUN077
17/02/2017,Lesiones dolosas,NA,NA,NO DISPONIBLE,San Martín Hidalgo,77,17:45,La vida y la integridad corporal,Interior,ENT14MUN077
22/02/2017,Robo a negocio,NA,NA,NO DISPONIBLE,Zacoalco de Torres,119,17:45,El patrimonio,Interior,ENT14MUN119
13/02/2017,Robo a persona,NA,NA,NO DISPONIBLE,Sayula,82,05:30,El patrimonio,Interior,ENT14MUN082
13/02/2017,Robo a casa habitación,NA,NA,NO DISPONIBLE,Cocula,24,17:45,El patrimonio,Interior,ENT14MUN024
03/02/2017,Lesiones dolosas,NA,NA,NO DISPONIBLE,Acatlán de Juárez,2,05:30,La vida y la integridad corporal,Interior,ENT14MUN002
02/02/2017,Robo a carga pesada,NA,NA,NO DISPONIBLE,Cocula,24,05:30,El patrimonio,Interior,ENT14MUN024
02/02/2017,Robo a negocio,NA,NA,NO DISPONIBLE,Acatlán de Juárez,2,17:45,El patrimonio,Interior,ENT14MUN002
23/03/2017,Robo a vehículos particulares,NA,NA,NO DISPONIBLE,Acatlán de Juárez,2,05:30,El patrimonio,Interior,ENT14MUN002
16/03/2017,Homicidio doloso,NA,NA,NO DISPONIBLE,Zacoalco de Torres,119,17:45,La vida y la integridad corporal,Interior,ENT14MUN119
14/03/2017,Robo a casa habitación,NA,NA,NO DISPONIBLE,Villa Corona,114,05:30,El patrimonio,Interior,ENT14MUN114
30/03/2017,Lesiones dolosas,NA,NA,NO DISPONIBLE,Sayula,82,17:45,La vida y la integridad corporal,Interior,ENT14MUN082
14/03/2017,Robo a vehículos particulares,NA,NA,NO DISPONIBLE,San Martín Hidalgo,77,17:45,El patrimonio,Interior,ENT14MUN077
17/03/2017,Robo a vehículos particulares,NA,NA,NO DISPONIBLE,Atemajac de Brizuela,10,17:45,El patrimonio,Interior,ENT14MUN010
23/03/2017,Robo a vehículos particulares,NA,NA,NO DISPONIBLE,Cocula,24,05:30,El patrimonio,Interior,ENT14MUN024
03/03/2017,Lesiones dolosas,NA,NA,NO DISPONIBLE,Sayula,82,17:45,La vida y la integridad corporal,Interior,ENT14MUN082
27/03/2017,Abuso sexual infantil,NA,NA,NO DISPONIBLE,San Martín Hidalgo,77,17:45,La libertad y la seguridad sexual,Interior,ENT14MUN077
03/03/2017,Robo a vehículos particulares,NA,NA,NO DISPONIBLE,Cocula,24,17:45,El patrimonio,Interior,ENT14MUN024
30/03/2017,Robo a carga pesada,NA,NA,NO DISPONIBLE,Sayula,82,05:30,El patrimonio,Interior,ENT14MUN082
16/03/2017,Robo de motocicleta,NA,NA,NO DISPONIBLE,Villa Corona,114,17:45,El patrimonio,Interior,ENT14MUN114
21/03/2017,Robo a casa habitación,NA,NA,NO DISPONIBLE,Villa Corona,114,05:30,El patrimonio,Interior,ENT14MUN114
12/04/2017,Robo a casa habitación,NA,NA,NO DISPONIBLE,Villa Corona,114,05:30,El patrimonio,Interior,ENT14MUN114
12/04/2017,Violencia familiar,NA,NA,NO DISPONIBLE,Zacoalco de Torres,119,17:45,La familia,Interior,ENT14MUN119
11/04/2017,Robo a casa habitación,NA,NA,NO DISPONIBLE,Acatlán de Juárez,2,05:30,El patrimonio,Interior,ENT14MUN002
01/04/2017,Lesiones dolosas,NA,NA,NO DISPONIBLE,Zacoalco de Torres,119,17:45,La vida y la integridad corporal,Interior,ENT14MUN119
06/04/2017,Lesiones dolosas,NA,NA,NO DISPONIBLE,Sayula,82,05:30,La vida y la integridad corporal,Interior,ENT14MUN082
11/04/2017,Homicidio doloso,NA,NA,NO DISPONIBLE,Villa Corona,114,05:30,La vida y la integridad corporal,Interior,ENT14MUN114
19/04/2017,Robo a vehículos particulares,NA,NA,NO DISPONIBLE,San Martín Hidalgo,77,17:45,El patrimonio,Interior,ENT14MUN077
10/05/2017,Lesiones dolosas,NA,NA,NO DISPONIBLE,Villa Corona,114,05:30,La vida y la integridad corporal,Interior,ENT14MUN114
02/05/2017,Robo a negocio,NA,NA,NO DISPONIBLE,Atemajac de Brizuela,10,05:30,El patrimonio,Interior,ENT14MUN010
09/05/2017,Violencia familiar,NA,NA,NO DISPONIBLE,Cocula,24,17:45,La familia,Interior,ENT14MUN024
18/05/2017,Violencia familiar,NA,NA,NO DISPONIBLE,Zacoalco de Torres,119,17:45,La familia,Interior,ENT14MUN119
08/05/2017,Robo a vehículos particulares,NA,NA,NO DISPONIBLE,Villa Corona,114,17:45,El patrimonio,Interior,ENT14MUN114
25/05/2017,Lesiones dolosas,NA,NA,NO DISPONIBLE,Atoyac,14,17:45,La vida y la integridad corporal,Interior,ENT14MUN014
02/05/2017,Lesiones dolosas,NA,NA,NO DISPONIBLE,Tapalpa,86,17:45,La vida y la integridad corporal,Interior,ENT14MUN086
10/05/2017,Lesiones dolosas,NA,NA,NO DISPONIBLE,Villa Corona,114,17:45,La vida y la integridad corporal,Interior,ENT14MUN114
03/05/2017,Lesiones dolosas,NA,NA,NO DISPONIBLE,Cocula,24,17:45,La vida y la integridad corporal,Interior,ENT14MUN024
