fecha,delito,x,y,colonia,municipio,clave_mun,hora,bien_afectado,zona_geografica
26/01/2017,Robo a casa habitación,NA,NA,NO DISPONIBLE,Autlán de Navarro,15,17:45,El patrimonio,Interior
27/01/2017,Robo a negocio,NA,NA,NO DISPONIBLE,Ejutla,34,05:30,El patrimonio,Interior
04/01/2017,Violencia familiar,NA,NA,NO DISPONIBLE,Autlán de Navarro,15,05:30,La familia,Interior
06/01/2017,Lesiones dolosas,NA,NA,NO DISPONIBLE,Autlán de Navarro,15,05:30,La vida y la integridad corporal,Interior
05/01/2017,Robo de motocicleta,NA,NA,NO DISPONIBLE,Ayutla,17,17:45,El patrimonio,Interior
27/01/2017,Robo a vehículos particulares,NA,NA,NO DISPONIBLE,Tecolotlán,88,17:45,El patrimonio,Interior
07/01/2017,Violación,NA,NA,NO DISPONIBLE,Autlán de Navarro,15,05:30,La libertad y la seguridad sexual,Interior
11/01/2017,Violación,NA,NA,NO DISPONIBLE,Tecolotlán,88,05:30,La libertad y la seguridad sexual,Interior
26/01/2017,Robo a casa habitación,NA,NA,NO DISPONIBLE,Autlán de Navarro,15,17:45,El patrimonio,Interior
12/01/2017,Robo a casa habitación,NA,NA,NO DISPONIBLE,Autlán de Navarro,15,05:30,El patrimonio,Interior
09/02/2017,Violencia familiar,NA,NA,NO DISPONIBLE,Unión de Tula,110,05:30,La familia,Interior
26/02/2017,Robo a negocio,NA,NA,NO DISPONIBLE,Autlán de Navarro,15,17:45,El patrimonio,Interior
19/02/2017,Lesiones dolosas,NA,NA,NO DISPONIBLE,Autlán de Navarro,15,05:30,La vida y la integridad corporal,Interior
04/02/2017,Lesiones dolosas,NA,NA,NO DISPONIBLE,Autlán de Navarro,15,05:30,La vida y la integridad corporal,Interior
09/02/2017,Lesiones dolosas,NA,NA,NO DISPONIBLE,Unión de Tula,110,05:30,La vida y la integridad corporal,Interior
04/02/2017,Lesiones dolosas,NA,NA,NO DISPONIBLE,Autlán de Navarro,15,05:30,La vida y la integridad corporal,Interior
05/02/2017,Lesiones dolosas,NA,NA,NO DISPONIBLE,Unión de Tula,110,05:30,La vida y la integridad corporal,Interior
12/02/2017,Lesiones dolosas,NA,NA,NO DISPONIBLE,Autlán de Navarro,15,05:30,La vida y la integridad corporal,Interior
14/03/2017,Violencia familiar,NA,NA,NO DISPONIBLE,Ayutla,17,05:30,La familia,Interior
12/03/2017,Homicidio doloso,NA,NA,NO DISPONIBLE,Tecolotlán,88,05:30,La vida y la integridad corporal,Interior
09/03/2017,Robo a negocio,NA,NA,NO DISPONIBLE,El Grullo,37,05:30,El patrimonio,Interior
08/03/2017,Lesiones dolosas,NA,NA,NO DISPONIBLE,Autlán de Navarro,15,05:30,La vida y la integridad corporal,Interior
09/03/2017,Robo a negocio,NA,NA,NO DISPONIBLE,El Grullo,37,05:30,El patrimonio,Interior
03/03/2017,Violencia familiar,NA,NA,NO DISPONIBLE,Autlán de Navarro,15,17:45,La familia,Interior
01/03/2017,Violencia familiar,NA,NA,NO DISPONIBLE,Autlán de Navarro,15,17:45,La familia,Interior
29/03/2017,Robo a casa habitación,NA,NA,NO DISPONIBLE,Ayutla,17,05:30,El patrimonio,Interior
08/04/2017,Lesiones dolosas,NA,NA,NO DISPONIBLE,Autlán de Navarro,15,17:45,La vida y la integridad corporal,Interior
25/04/2017,Lesiones dolosas,NA,NA,NO DISPONIBLE,Autlán de Navarro,15,17:45,La vida y la integridad corporal,Interior
06/04/2017,Lesiones dolosas,NA,NA,NO DISPONIBLE,Unión de Tula,110,05:30,La vida y la integridad corporal,Interior
04/04/2017,Abuso sexual infantil,NA,NA,NO DISPONIBLE,Tonaya,102,17:45,La libertad y la seguridad sexual,Interior
10/04/2017,Lesiones dolosas,NA,NA,NO DISPONIBLE,Autlán de Navarro,15,05:30,La vida y la integridad corporal,Interior
28/04/2017,Robo a casa habitación,NA,NA,NO DISPONIBLE,Autlán de Navarro,15,17:45,El patrimonio,Interior
29/04/2017,Robo a casa habitación,NA,NA,NO DISPONIBLE,Atengo,11,05:30,El patrimonio,Interior
16/04/2017,Robo a casa habitación,NA,NA,NO DISPONIBLE,Autlán de Navarro,15,17:45,El patrimonio,Interior
02/04/2017,Lesiones dolosas,NA,NA,NO DISPONIBLE,Autlán de Navarro,15,05:30,La vida y la integridad corporal,Interior
10/04/2017,Abuso sexual infantil,NA,NA,NO DISPONIBLE,Autlán de Navarro,15,17:45,La libertad y la seguridad sexual,Interior
13/05/2017,Lesiones dolosas,NA,NA,NO DISPONIBLE,Autlán de Navarro,15,05:30,La vida y la integridad corporal,Interior
01/05/2017,Robo a persona,NA,NA,NO DISPONIBLE,Autlán de Navarro,15,17:45,El patrimonio,Interior
29/05/2017,Violencia familiar,NA,NA,NO DISPONIBLE,Autlán de Navarro,15,05:30,La familia,Interior
10/05/2017,Lesiones dolosas,NA,NA,NO DISPONIBLE,Autlán de Navarro,15,17:45,La vida y la integridad corporal,Interior
22/06/2017,Lesiones dolosas,NA,NA,NO DISPONIBLE,Autlán de Navarro,15,17:45,La vida y la integridad corporal,Interior
02/06/2017,Lesiones dolosas,NA,NA,NO DISPONIBLE,El Grullo,37,17:45,La vida y la integridad corporal,Interior
08/06/2017,Violencia familiar,NA,NA,NO DISPONIBLE,El Grullo,37,17:45,La familia,Interior
01/06/2017,Lesiones dolosas,NA,NA,NO DISPONIBLE,Unión de Tula,110,05:30,La vida y la integridad corporal,Interior
06/06/2017,Robo a negocio,NA,NA,NO DISPONIBLE,Autlán de Navarro,15,05:30,El patrimonio,Interior
26/06/2017,Lesiones dolosas,NA,NA,NO DISPONIBLE,Tecolotlán,88,17:45,La vida y la integridad corporal,Interior
30/07/2017,Lesiones dolosas,NA,NA,NO DISPONIBLE,Autlán de Navarro,15,05:30,La vida y la integridad corporal,Interior
04/07/2017,Robo a persona,NA,NA,NO DISPONIBLE,Autlán de Navarro,15,17:45,El patrimonio,Interior
04/07/2017,Robo a vehículos particulares,NA,NA,NO DISPONIBLE,Tecolotlán,88,17:45,El patrimonio,Interior
04/07/2017,Abuso sexual infantil,NA,NA,NO DISPONIBLE,Autlán de Navarro,15,17:45,La libertad y la seguridad sexual,Interior
17/07/2017,Violencia familiar,NA,NA,NO DISPONIBLE,Tecolotlán,88,17:45,La familia,Interior
06/07/2017,Lesiones dolosas,NA,NA,NO DISPONIBLE,Autlán de Navarro,15,05:30,La vida y la integridad corporal,Interior
24/07/2017,Lesiones dolosas,NA,NA,NO DISPONIBLE,Autlán de Navarro,15,17:45,La vida y la integridad corporal,Interior
31/07/2017,Violencia familiar,NA,NA,NO DISPONIBLE,Autlán de Navarro,15,05:30,La familia,Interior
13/07/2017,Robo a vehículos particulares,NA,NA,NO DISPONIBLE,Autlán de Navarro,15,05:30,El patrimonio,Interior
20/07/2017,Violencia familiar,NA,NA,NO DISPONIBLE,Autlán de Navarro,15,05:30,La familia,Interior
05/07/2017,Robo a casa habitación,NA,NA,NO DISPONIBLE,Autlán de Navarro,15,05:30,El patrimonio,Interior
17/07/2017,Lesiones dolosas,NA,NA,NO DISPONIBLE,Autlán de Navarro,15,17:45,La vida y la integridad corporal,Interior
25/08/2017,Lesiones dolosas,NA,NA,NO DISPONIBLE,Tecolotlán,88,05:30,La vida y la integridad corporal,Interior
28/08/2017,Violencia familiar,NA,NA,NO DISPONIBLE,Autlán de Navarro,15,17:45,La familia,Interior
16/08/2017,Violación,NA,NA,NO DISPONIBLE,Autlán de Navarro,15,05:30,La libertad y la seguridad sexual,Interior
02/08/2017,Lesiones dolosas,NA,NA,NO DISPONIBLE,Autlán de Navarro,15,05:30,La vida y la integridad corporal,Interior
14/08/2017,Violencia familiar,NA,NA,NO DISPONIBLE,Autlán de Navarro,15,17:45,La familia,Interior
03/08/2017,Violación,NA,NA,NO DISPONIBLE,Ejutla,34,17:45,La libertad y la seguridad sexual,Interior
05/08/2017,Robo a vehículos particulares,NA,NA,NO DISPONIBLE,Chiquilistlán,32,17:45,El patrimonio,Interior
17/09/2017,Lesiones dolosas,NA,NA,NO DISPONIBLE,Autlán de Navarro,15,17:45,La vida y la integridad corporal,Interior
10/09/2017,Robo a persona,NA,NA,NO DISPONIBLE,Autlán de Navarro,15,05:30,El patrimonio,Interior
11/09/2017,Abuso sexual infantil,NA,NA,NO DISPONIBLE,El Grullo,37,05:30,La libertad y la seguridad sexual,Interior
22/09/2017,Robo a casa habitación,NA,NA,NO DISPONIBLE,Autlán de Navarro,15,05:30,El patrimonio,Interior
28/09/2017,Robo a vehículos particulares,NA,NA,NO DISPONIBLE,Tecolotlán,88,05:30,El patrimonio,Interior
14/09/2017,Abuso sexual infantil,NA,NA,NO DISPONIBLE,Ayutla,17,17:45,La libertad y la seguridad sexual,Interior
27/09/2017,Abuso sexual infantil,NA,NA,NO DISPONIBLE,El Limón,54,17:45,La libertad y la seguridad sexual,Interior
18/09/2017,Lesiones dolosas,NA,NA,NO DISPONIBLE,Ayutla,17,05:30,La vida y la integridad corporal,Interior
11/10/2017,Abuso sexual infantil,NA,NA,NO DISPONIBLE,Ejutla,34,17:45,La libertad y la seguridad sexual,Interior
16/10/2017,Robo a vehículos particulares,NA,NA,NO DISPONIBLE,Autlán de Navarro,15,05:30,El patrimonio,Interior
21/11/2017,Lesiones dolosas,NA,NA,NO DISPONIBLE,Chiquilistlán,32,17:45,La vida y la integridad corporal,Interior
16/11/2017,Lesiones dolosas,NA,NA,NO DISPONIBLE,Autlán de Navarro,15,17:45,La vida y la integridad corporal,Interior
30/11/2017,Robo a int de vehículos,NA,NA,NO DISPONIBLE,Tecolotlán,88,17:45,El patrimonio,Interior
13/11/2017,Violencia familiar,NA,NA,NO DISPONIBLE,Tenamaxtlán,90,05:30,La familia,Interior
