"fecha","delito","x","y","colonia","municipio","clave_mun","hora","bien_afectado","zona_geografica","ID_municipio_unico"
"2017-01-04","Lesiones dolosas",NA,NA,"NO DISPONIBLE","Zapotlán el Grande",23,"17:45","La vida y la integridad corporal","Interior","MUN023"
"2017-01-14","Robo a carga pesada",NA,NA,"NO DISPONIBLE","Zapotiltic",121,"17:45","El patrimonio","Interior","MUN121"
"2017-01-11","Lesiones dolosas",NA,NA,"NO DISPONIBLE","Zapotiltic",121,"5:30","La vida y la integridad corporal","Interior","MUN121"
"2017-01-14","Robo a persona",NA,NA,"NO DISPONIBLE","Gómez Farías",79,"17:45","El patrimonio","Interior","MUN079"
"2017-01-24","Robo a casa habitación",NA,NA,"NO DISPONIBLE","Zapotlán el Grande",23,"17:45","El patrimonio","Interior","MUN023"
"2017-01-06","Lesiones dolosas",NA,NA,"NO DISPONIBLE","Tamazula de Gordiano",85,"17:45","La vida y la integridad corporal","Interior","MUN085"
"2017-01-09","Robo a vehículos particulares",NA,NA,"NO DISPONIBLE","Jilotlán de los Dolores",49,"5:30","El patrimonio","Interior","MUN049"
"2017-01-12","Robo a vehículos particulares",NA,NA,"NO DISPONIBLE","Zapotlán el Grande",23,"5:30","El patrimonio","Interior","MUN023"
"2017-01-25","Lesiones dolosas",NA,NA,"NO DISPONIBLE","Zapotlán el Grande",23,"17:45","La vida y la integridad corporal","Interior","MUN023"
"2017-01-25","Robo a vehículos particulares",NA,NA,"NO DISPONIBLE","Zapotlán el Grande",23,"5:30","El patrimonio","Interior","MUN023"
"2017-01-30","Lesiones dolosas",NA,NA,"NO DISPONIBLE","San Gabriel",113,"17:45","La vida y la integridad corporal","Interior","MUN113"
"2017-01-24","Lesiones dolosas",NA,NA,"NO DISPONIBLE","Zapotiltic",121,"17:45","La vida y la integridad corporal","Interior","MUN121"
"2017-01-30","Robo a casa habitación",NA,NA,"NO DISPONIBLE","Zapotlán el Grande",23,"5:30","El patrimonio","Interior","MUN023"
"2017-01-25","Robo a vehículos particulares",NA,NA,"NO DISPONIBLE","Zapotitlán de Vadillo",122,"17:45","El patrimonio","Interior","MUN122"
"2017-01-30","Robo a vehículos particulares",NA,NA,"NO DISPONIBLE","Zapotlán el Grande",23,"17:45","El patrimonio","Interior","MUN023"
"2017-01-02","Robo a int de vehículos",NA,NA,"NO DISPONIBLE","Zapotlán el Grande",23,"17:45","El patrimonio","Interior","MUN023"
"2017-01-27","Lesiones dolosas",NA,NA,"NO DISPONIBLE","Tolimán",99,"17:45","La vida y la integridad corporal","Interior","MUN099"
"2017-02-01","Lesiones dolosas",NA,NA,"NO DISPONIBLE","San Gabriel",113,"17:45","La vida y la integridad corporal","Interior","MUN113"
"2017-02-03","Robo a vehículos particulares",NA,NA,"NO DISPONIBLE","Tecalitlán",87,"17:45","El patrimonio","Interior","MUN087"
"2017-02-01","Abuso sexual infantil",NA,NA,"NO DISPONIBLE","Zapotlán el Grande",23,"17:45","La libertad y la seguridad sexual","Interior","MUN023"
"2017-02-03","Robo a negocio",NA,NA,"NO DISPONIBLE","Zapotlán el Grande",23,"17:45","El patrimonio","Interior","MUN023"
"2017-02-09","Abuso sexual infantil",NA,NA,"NO DISPONIBLE","Tuxpan",108,"5:30","La libertad y la seguridad sexual","Interior","MUN108"
