"fecha","delito","x","y","colonia","municipio","clave_mun","hora","bien_afectado","zona_geografica","ID_municipio_unico"
"2017-01-07","Lesiones dolosas",NA,NA,"NO DISPONIBLE","Ahualulco de Mercado",3,"5:30","La vida y la integridad corporal","Interior","MUN003"
"2017-01-19","Robo a negocio",NA,NA,"NO DISPONIBLE","Tala",83,"17:45","El patrimonio","Interior","MUN083"
"2017-01-23","Robo a vehículos particulares",NA,NA,"NO DISPONIBLE","Tala",83,"17:45","El patrimonio","Interior","MUN083"
"2017-01-04","Abuso sexual infantil",NA,NA,"NO DISPONIBLE","El Arenal",9,"5:30","La libertad y la seguridad sexual","Interior","MUN009"
"2017-01-05","Robo a casa habitación",NA,NA,"NO DISPONIBLE","Ameca",6,"17:45","El patrimonio","Interior","MUN006"
"2017-01-15","Robo a persona",NA,NA,"NO DISPONIBLE","Tequila",94,"5:30","El patrimonio","Interior","MUN094"
"2017-01-12","Robo a persona",NA,NA,"NO DISPONIBLE","Tala",83,"5:30","El patrimonio","Interior","MUN083"
"2017-01-11","Lesiones dolosas",NA,NA,"NO DISPONIBLE","Tala",83,"17:45","La vida y la integridad corporal","Interior","MUN083"
"2017-01-04","Robo a casa habitación",NA,NA,"NO DISPONIBLE","Tala",83,"17:45","El patrimonio","Interior","MUN083"
"2017-01-06","Violencia familiar",NA,NA,"NO DISPONIBLE","Tequila",94,"5:30","La familia","Interior","MUN094"
"2017-01-30","Robo a casa habitación",NA,NA,"NO DISPONIBLE","El Arenal",9,"17:45","El patrimonio","Interior","MUN009"
"2017-01-06","Robo a persona",NA,NA,"NO DISPONIBLE","Ameca",6,"5:30","El patrimonio","Interior","MUN006"
"2017-01-02","Violencia familiar",NA,NA,"NO DISPONIBLE","Amatitán",5,"5:30","La familia","Interior","MUN005"
"2017-01-10","Robo a casa habitación",NA,NA,"NO DISPONIBLE","Tala",83,"17:45","El patrimonio","Interior","MUN083"
"2017-01-25","Violencia familiar",NA,NA,"NO DISPONIBLE","Hostotipaquillo",40,"5:30","La familia","Interior","MUN040"
"2017-02-10","Robo de motocicleta",NA,NA,"NO DISPONIBLE","Tala",83,"17:45","El patrimonio","Interior","MUN083"
"2017-02-07","Lesiones dolosas",NA,NA,"NO DISPONIBLE","El Arenal",9,"5:30","La vida y la integridad corporal","Interior","MUN009"
"2017-02-17","Violencia familiar",NA,NA,"NO DISPONIBLE","Ahualulco de Mercado",3,"17:45","La familia","Interior","MUN003"
"2017-02-27","Robo de motocicleta",NA,NA,"NO DISPONIBLE","Tala",83,"17:45","El patrimonio","Interior","MUN083"
"2017-02-02","Lesiones dolosas",NA,NA,"NO DISPONIBLE","Ameca",6,"5:30","La vida y la integridad corporal","Interior","MUN006"
"2017-02-15","Robo a casa habitación",NA,NA,"NO DISPONIBLE","Tala",83,"5:30","El patrimonio","Interior","MUN083"
"2017-02-10","Robo a casa habitación",NA,NA,"NO DISPONIBLE","Magdalena",55,"5:30","El patrimonio","Interior","MUN055"
"2017-02-16","Violencia familiar",NA,NA,"NO DISPONIBLE","Ameca",6,"17:45","La familia","Interior","MUN006"
"2017-02-23","Robo a casa habitación",NA,NA,"NO DISPONIBLE","Tala",83,"5:30","El patrimonio","Interior","MUN083"
"2017-02-09","Robo de motocicleta",NA,NA,"NO DISPONIBLE","Tala",83,"17:45","El patrimonio","Interior","MUN083"
"2017-02-16","Robo a casa habitación",NA,NA,"NO DISPONIBLE","El Arenal",9,"17:45","El patrimonio","Interior","MUN009"
"2017-02-21","Robo a persona",NA,NA,"NO DISPONIBLE","Tala",83,"5:30","El patrimonio","Interior","MUN083"
"2017-02-23","Robo a casa habitación",NA,NA,"NO DISPONIBLE","Tala",83,"17:45","El patrimonio","Interior","MUN083"
"2017-02-02","Robo de motocicleta",NA,NA,"NO DISPONIBLE","Tala",83,"17:45","El patrimonio","Interior","MUN083"
"2017-03-09","Robo a vehículos particulares",NA,NA,"NO DISPONIBLE","Tala",83,"17:45","El patrimonio","Interior","MUN083"
"2017-03-21","Robo a vehículos particulares",NA,NA,"NO DISPONIBLE","Tequila",94,"5:30","El patrimonio","Interior","MUN094"
"2017-03-09","Robo a casa habitación",NA,NA,"NO DISPONIBLE","Tala",83,"5:30","El patrimonio","Interior","MUN083"
"2017-03-03","Robo a casa habitación",NA,NA,"NO DISPONIBLE","Tala",83,"17:45","El patrimonio","Interior","MUN083"
"2017-03-15","Violencia familiar",NA,NA,"NO DISPONIBLE","Ameca",6,"5:30","La familia","Interior","MUN006"
"2017-03-23","Robo a casa habitación",NA,NA,"NO DISPONIBLE","Tala",83,"5:30","El patrimonio","Interior","MUN083"
"2017-03-09","Robo a casa habitación",NA,NA,"NO DISPONIBLE","Tala",83,"17:45","El patrimonio","Interior","MUN083"
"2017-03-10","Robo a vehículos particulares",NA,NA,"NO DISPONIBLE","Tala",83,"5:30","El patrimonio","Interior","MUN083"
"2017-03-09","Robo de motocicleta",NA,NA,"NO DISPONIBLE","Tala",83,"17:45","El patrimonio","Interior","MUN083"
"2017-03-24","Abuso sexual infantil",NA,NA,"NO DISPONIBLE","Tala",83,"5:30","La libertad y la seguridad sexual","Interior","MUN083"
"2017-03-09","Violencia familiar",NA,NA,"NO DISPONIBLE","Magdalena",55,"17:45","La familia","Interior","MUN055"
"2017-03-23","Robo a persona",NA,NA,"NO DISPONIBLE","Tala",83,"17:45","El patrimonio","Interior","MUN083"
